ReactionID	Flux	Equation	EC	Kcat_MW	E
R696_num2	0.0	3otdcoa_x + coa_x --> accoa_x + dodcoa_x	2.3.1.16	911.02	0.0
R700_num7	0.0	dc2coa_x + h2o_x --> 3hdcoa_x	4.2.1.17,4.2.1.74	628.12	0.0
R706_num2	0.0	h2o_x + hx2coa_x --> 3hhcoa_x	4.2.1.17,4.2.1.74	182.374	0.0
R705_num5	0.0	3oocoa_x + coa_x --> C60COA_x + accoa_x	2.3.1.16	784.461	0.0
R705_num4	0.0	3oocoa_x + coa_x --> C60COA_x + accoa_x	2.3.1.16	638.482	0.0
R705_num3	0.0	3oocoa_x + coa_x --> C60COA_x + accoa_x	2.3.1.16	828.282	0.0
R705_num2	0.0	3oocoa_x + coa_x --> C60COA_x + accoa_x	2.3.1.16	911.02	0.0
R704_num2	0.0	3hocoa_x + nad_x --> 3oocoa_x + h_x + nadh_x	1.1.1.35,1.1.1.211	749.77	0.0
R703_num7	0.0	h2o_x + oc2coa_x --> 3hocoa_x	4.2.1.17,4.2.1.74	541.253	0.0
R703_num6	0.0	h2o_x + oc2coa_x --> 3hocoa_x	4.2.1.17,4.2.1.74	420.906	0.0
R703_num5	0.0	h2o_x + oc2coa_x --> 3hocoa_x	4.2.1.17,4.2.1.74	603.834	0.0
R703_num4	0.0	h2o_x + oc2coa_x --> 3hocoa_x	4.2.1.17,4.2.1.74	720.507	0.0
R703_num3	0.0	h2o_x + oc2coa_x --> 3hocoa_x	4.2.1.17,4.2.1.74	454.318	0.0
R703_num2	0.0	h2o_x + oc2coa_x --> 3hocoa_x	4.2.1.17,4.2.1.74	161.901	0.0
R702_num5	0.0	3odcoa_x + coa_x --> accoa_x + octcoa_x	2.3.1.16	784.461	0.0
R702_num4	0.0	3odcoa_x + coa_x --> accoa_x + octcoa_x	2.3.1.16	638.482	0.0
R702_num3	0.0	3odcoa_x + coa_x --> accoa_x + octcoa_x	2.3.1.16	828.282	0.0
R702_num2	0.0	3odcoa_x + coa_x --> accoa_x + octcoa_x	2.3.1.16	911.02	0.0
R701_num2	0.0	3hdcoa_x + nad_x --> 3odcoa_x + h_x + nadh_x	1.1.1.35,1.1.1.211	700.745	0.0
R700_num6	0.0	dc2coa_x + h2o_x --> 3hdcoa_x	4.2.1.17,4.2.1.74	550.225	0.0
R694_num7	0.0	h2o_x + td2coa_x --> 3htdcoa_x	4.2.1.17,4.2.1.74	591.814	0.0
R695_num2	0.0	3htdcoa_x + nad_x --> 3otdcoa_x + h_x + nadh_x	1.1.1.35,1.1.1.211	622.079	0.0
R706_num4	0.0	h2o_x + hx2coa_x --> 3hhcoa_x	4.2.1.17,4.2.1.74	914.251	0.0
R680_num6	0.0	h2o_x + pt2coa_x --> C5HCOA_x + 4.0 h_x	4.2.1.17,4.2.1.74	763.402	0.0
R680_num5	0.0	h2o_x + pt2coa_x --> C5HCOA_x + 4.0 h_x	4.2.1.17,4.2.1.74	722.551	0.0
R680_num4	0.0	h2o_x + pt2coa_x --> C5HCOA_x + 4.0 h_x	4.2.1.17,4.2.1.74	1428.869	0.0
R680_num3	0.0	h2o_x + pt2coa_x --> C5HCOA_x + 4.0 h_x	4.2.1.17,4.2.1.74	900.976	0.0
R680_num2	0.0	h2o_x + pt2coa_x --> C5HCOA_x + 4.0 h_x	4.2.1.17,4.2.1.74	351.066	0.0
R679_num3	0.0	C7OCOA_x + coa_x --> accoa_x + ptcoa_x	2.3.1.16	784.461	0.0
R679_num2	0.0	C7OCOA_x + coa_x --> accoa_x + ptcoa_x	2.3.1.16	828.282	0.0
R678_num2	0.0	C7HCOA_x + nad_x --> C7OCOA_x + h_x + nadh_x	1.1.1.35,1.1.1.211	722.551	0.0
R677_num7	0.0	C7DCOA_x + h2o_x --> C7HCOA_x	4.2.1.17,4.2.1.74	821.104	0.0
R677_num6	0.0	C7DCOA_x + h2o_x --> C7HCOA_x	4.2.1.17,4.2.1.74	763.402	0.0
R677_num5	0.0	C7DCOA_x + h2o_x --> C7HCOA_x	4.2.1.17,4.2.1.74	722.551	0.0
R677_num4	0.0	C7DCOA_x + h2o_x --> C7HCOA_x	4.2.1.17,4.2.1.74	1428.869	0.0
R677_num3	0.0	C7DCOA_x + h2o_x --> C7HCOA_x	4.2.1.17,4.2.1.74	900.976	0.0
R677_num2	0.0	C7DCOA_x + h2o_x --> C7HCOA_x	4.2.1.17,4.2.1.74	351.066	0.0
R676_num3	0.0	C9OCOA_x + coa_x --> C70COA_x + accoa_x	2.3.1.16	784.461	0.0
R1204_num2	0.0	chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c	4.1.3.27	1567.512	0.0
R676_num2	0.0	C9OCOA_x + coa_x --> C70COA_x + accoa_x	2.3.1.16	828.282	0.0
R680_num7	0.0	h2o_x + pt2coa_x --> C5HCOA_x + 4.0 h_x	4.2.1.17,4.2.1.74	821.104	0.0
R681_num2	0.0	C5HCOA_x + nad_x --> C5OCOA_x + h_x + nadh_x	1.1.1.35,1.1.1.211	722.551	0.0
R691_num2	0.0	h2o_x + hdd2coa_x --> 3hhdcoa_x	4.2.1.17,4.2.1.74	182.374	0.0
R693_num3	0.0	3ohdcoa_x + coa_x --> accoa_x + tdcoa_x	2.3.1.16,2.3.1.155	652.756	0.0
R694_num6	0.0	h2o_x + td2coa_x --> 3htdcoa_x	4.2.1.17,4.2.1.74	503.217	0.0
R694_num5	0.0	h2o_x + td2coa_x --> 3htdcoa_x	4.2.1.17,4.2.1.74	640.876	0.0
R694_num4	0.0	h2o_x + td2coa_x --> 3htdcoa_x	4.2.1.17,4.2.1.74	811.618	0.0
R694_num3	0.0	h2o_x + td2coa_x --> 3htdcoa_x	4.2.1.17,4.2.1.74	559.575	0.0
R694_num2	0.0	h2o_x + td2coa_x --> 3htdcoa_x	4.2.1.17,4.2.1.74	171.833	0.0
R693_num5	0.0	3ohdcoa_x + coa_x --> accoa_x + tdcoa_x	2.3.1.16,2.3.1.155	600.089	0.0
R693_num4	0.0	3ohdcoa_x + coa_x --> accoa_x + tdcoa_x	2.3.1.16,2.3.1.155	373.626	0.0
R693_num2	0.0	3ohdcoa_x + coa_x --> accoa_x + tdcoa_x	2.3.1.16,2.3.1.155	696.902	0.0
R691_num3	0.0	h2o_x + hdd2coa_x --> 3hhdcoa_x	4.2.1.17,4.2.1.74	511.768	0.0
R1200_num5	0.0	pep_c + skm5p_c --> 3psme_c + pi_c	2.5.1.19	143.737	0.0
R692_num2	0.0	3hhdcoa_x + nad_x --> 3ohdcoa_x + h_x + nadh_x	1.1.1.35,1.1.1.211	743.732	0.0
R1200_num6	0.0	pep_c + skm5p_c --> 3psme_c + pi_c	2.5.1.19	250.979	0.0
R691_num7	0.0	h2o_x + hdd2coa_x --> 3hhdcoa_x	4.2.1.17,4.2.1.74	541.253	0.0
R691_num6	0.0	h2o_x + hdd2coa_x --> 3hhdcoa_x	4.2.1.17,4.2.1.74	396.577	0.0
R691_num5	0.0	h2o_x + hdd2coa_x --> 3hhdcoa_x	4.2.1.17,4.2.1.74	568.932	0.0
R691_num4	0.0	h2o_x + hdd2coa_x --> 3hhdcoa_x	4.2.1.17,4.2.1.74	742.278	0.0
R706_num3	0.0	h2o_x + hx2coa_x --> 3hhcoa_x	4.2.1.17,4.2.1.74	630.336	0.0
R706_num5	0.0	h2o_x + hx2coa_x --> 3hhcoa_x	4.2.1.17,4.2.1.74	622.079	0.0
R674_num7	0.0	C9DCOA_x + h2o_x --> C9HCOA_x	4.2.1.17,4.2.1.74	821.104	0.0
R775_num2	0.0	h2o_e + mnt_e --> 6dg_e + gal_e	3.2.1.22	3230.596	0.0
R770_num2	0.0	epm_e + h2o_e --> gal_e + man_e	3.2.1.22	5358.792	0.0
R769_num2	0.0	1Dgali_c + h2o_c --> gal_c + inost_c	3.2.1.22	5049.053	0.0
R768_num2	0.0	ggl_c + h2o_c --> gal_c + glyc_c	3.2.1.22	4223.174	0.0
R767_num2	0.0	6dg_e + h2o_e --> gal_e + glc__D_e	3.2.1.22	5358.792	0.0
R765_num3	0.0	h2o_c + lcts_c --> Glc_aD_c + gal_c	3.2.1.23,3.2.1.108	1694.111	0.0
R765_num2	0.0	h2o_c + lcts_c --> Glc_aD_c + gal_c	3.2.1.23,3.2.1.108	3445.478	0.0
R762_num4	0.0	galt_c + nadp_c --> gal_c + h_c + nadph_c	1.1.1.21	907.899	0.0
R762_num3	0.0	galt_c + nadp_c --> gal_c + h_c + nadph_c	1.1.1.21	930.913	0.0
R762_num2	0.0	galt_c + nadp_c --> gal_c + h_c + nadph_c	1.1.1.21	1614.425	0.0
R761_num4	0.0	h_c + nadph_c + rib__D_c --> nadp_c + rbt_c	1.1.1.21	716.127	0.0
R761_num3	0.0	h_c + nadph_c + rib__D_c --> nadp_c + rbt_c	1.1.1.21	892.071	0.0
R761_num2	0.0	h_c + nadph_c + rib__D_c --> nadp_c + rbt_c	1.1.1.21	1129.474	0.0
R760_num4	0.0	arab__D_c + h_c + nadph_c --> abt__D_c + nadp_c	1.1.1.21	674.735	0.0
R760_num3	0.0	arab__D_c + h_c + nadph_c --> abt__D_c + nadp_c	1.1.1.21	840.51	0.0
R760_num2	0.0	arab__D_c + h_c + nadph_c --> abt__D_c + nadp_c	1.1.1.21	1032.977	0.0
R754_num2	0.0	gtp_c + h_c + man1p_c --> gdpmann_c + ppi_c	2.7.7.13	1983.933	0.0
R752_num3	0.0	atp_c + man_c --> adp_c + h_c + man6p_c	2.7.1.1,2.7.1.7	834.149	0.0
R771_num2	0.0	h2o_e + melt_e --> gal_e + sbt__D_e	3.2.1.22	4223.174	0.0
R776_num2	0.0	h2o_e + stys_e --> gal_e + raffin_e	3.2.1.22	3532.386	0.0
R745_num3	0.0	nadp_c + sbt__D_c --> Glc_aD_c + h_c + nadph_c	1.1.1.21	930.913	0.0
R777_num2	0.0	h2o_e + raffin_e --> gal_e + sucr_e		4350.784	0.0
R801_num2	0.0	2.0 gthrd_c + h2o2_c --> gthox_c + 2.0 h2o_c	1.11.1.9	688.766	0.0
R797_num2	0.0	gthrd_c + h2o_c --> cgly_c + glu__L_c	3.4.19.13	2404.426	0.0
R796_num3	0.0	atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c	6.3.2.3	568.413	0.0
R796_num2	0.0	atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c	6.3.2.3	249.519	0.0
R795_num2	0.0	atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c	6.3.2.2	268.595	0.0
R789_num3	0.0	h2o_c + sucr_c --> fru_c + glc__D_c	3.2.1.10,3.2.1.20,3.2.1.26,3.2.1.48	4722.446	0.0
R789_num2	0.0	h2o_c + sucr_c --> fru_c + glc__D_c	3.2.1.10,3.2.1.20,3.2.1.26,3.2.1.48	4154.651	0.0
R788_num2	0.0	h2o_e + sucr_e --> fru_e + glc__D_e	3.2.1.10,3.2.1.20,3.2.1.26,3.2.1.48	767.776	0.0
R786_num6	0.0	h2o_e + sucr_e --> fru_e + glc__aD_e	3.2.1.20,3.2.1.26,3.2.1.48	1491.603	0.0
R786_num5	0.0	h2o_e + sucr_e --> fru_e + glc__aD_e	3.2.1.20,3.2.1.26,3.2.1.48	4722.446	0.0
R786_num4	0.0	h2o_e + sucr_e --> fru_e + glc__aD_e	3.2.1.20,3.2.1.26,3.2.1.48	4154.651	0.0
R786_num3	0.0	h2o_e + sucr_e --> fru_e + glc__aD_e	3.2.1.20,3.2.1.26,3.2.1.48	2200.628	0.0
R786_num2	0.0	h2o_e + sucr_e --> fru_e + glc__aD_e	3.2.1.20,3.2.1.26,3.2.1.48	767.776	0.0
R785_num3	0.0	h2o_e + lcts_e --> gal_e + glc__aD_e	3.2.1.23,3.2.1.108	1694.111	0.0
R785_num2	0.0	h2o_e + lcts_e --> gal_e + glc__aD_e	3.2.1.23,3.2.1.108	3445.478	0.0
R782_num3	0.0	udpgal_c --> udpg_c	5.1.3.2	2090.402	0.0
R782_num2	0.0	udpgal_c --> udpg_c	5.1.3.2	58336.034	0.0
R752_num2	0.0	atp_c + man_c --> adp_c + h_c + man6p_c	2.7.1.1,2.7.1.7	839.47	0.0
R745_num2	0.0	nadp_c + sbt__D_c --> Glc_aD_c + h_c + nadph_c	1.1.1.21	939.795	0.0
R706_num6	0.0	h2o_x + hx2coa_x --> 3hhcoa_x	4.2.1.17,4.2.1.74	566.851	0.0
R717_num3	0.0	ahdt_c + 3.0 h2o_c --> HC01361_c + 2.0 h_c + 3.0 pi_c	3.1.3.1	2029.35	0.0
R711_num10	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	586.058	0.0
R711_num9	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	1467.206	0.0
R711_num8	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	1378.535	0.0
R711_num7	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	1368.258	0.0
R711_num6	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	1308.754	0.0
R711_num5	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	1014.796	0.0
R711_num4	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	1472.806	0.0
R711_num3	0.0	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	1901.899	0.0
R1200_num2	0.0	pep_c + skm5p_c --> 3psme_c + pi_c	2.5.1.19	590.938	0.0
R1200_num3	0.0	pep_c + skm5p_c --> 3psme_c + pi_c	2.5.1.19	2656.525	0.0
R1200_num4	0.0	pep_c + skm5p_c --> 3psme_c + pi_c	2.5.1.19	622.707	0.0
R708_num5	0.0	3ohcoa_x + coa_x --> accoa_x + butcoa_x	2.3.1.9,2.3.1.16	784.461	0.0
R708_num4	0.0	3ohcoa_x + coa_x --> accoa_x + butcoa_x	2.3.1.9,2.3.1.16	638.482	0.0
R708_num3	0.0	3ohcoa_x + coa_x --> accoa_x + butcoa_x	2.3.1.9,2.3.1.16	828.282	0.0
R708_num2	0.0	3ohcoa_x + coa_x --> accoa_x + butcoa_x	2.3.1.9,2.3.1.16	911.02	0.0
R707_num2	0.0	3hhcoa_x + nad_x --> 3ohcoa_x + h_x + nadh_x	1.1.1.35,1.1.1.211	680.192	0.0
R706_num7	0.0	h2o_x + hx2coa_x --> 3hhcoa_x	4.2.1.17,4.2.1.74	686.796	0.0
R717_num2	0.0	ahdt_c + 3.0 h2o_c --> HC01361_c + 2.0 h_c + 3.0 pi_c	3.1.3.1	636.478	0.0
R717_num4	0.0	ahdt_c + 3.0 h2o_c --> HC01361_c + 2.0 h_c + 3.0 pi_c	3.1.3.1	933.327	0.0
R743_num3	0.0	nadp_m + sbt__D_m --> CPD_15616_m + h_m + nadph_m	1.1.1.289	702.915	0.0
R720_num2	0.0	atp_m + dhpt_c + glu__L_m --> adp_m + dhf_m + h_m + pi_m	6.3.2.12,6.3.2.17	289.626	0.0
R743_num2	0.0	nadp_m + sbt__D_m --> CPD_15616_m + h_m + nadph_m	1.1.1.289	5450.395	0.0
R739_num2	0.0	f1p_c --> Lglyald_c + dhap_c	4.1.2.13	1047.255	0.0
R737_num3	0.0	nad_c + sbt__D_c --> fru_c + h_c + nadh_c	1.1.1.14,1.1.1.15	5418.92	0.0
R737_num2	0.0	nad_c + sbt__D_c --> fru_c + h_c + nadh_c	1.1.1.14,1.1.1.15	3109.342	0.0
R736_num3	0.0	nad_c + sbt__D_c --> fru_c + h_c + nadh_c	1.1.1.14,1.1.1.15	5418.92	0.0
R1199_num6	0.0	atp_c + skm_c --> adp_c + h_c + skm5p_c	2.7.1.71	276.836	0.0
R736_num2	0.0	nad_c + sbt__D_c --> fru_c + h_c + nadh_c	1.1.1.14,1.1.1.15	3109.342	0.0
R734_num5	0.0	atp_c + f6p_c --> adp_c + f26bp_c + h_c	2.7.1.105	80.667	0.0
R734_num4	0.0	atp_c + f6p_c --> adp_c + f26bp_c + h_c	2.7.1.105	202.679	0.0
R734_num3	0.0	atp_c + f6p_c --> adp_c + f26bp_c + h_c	2.7.1.105	273.467	0.0
R734_num2	0.0	atp_c + f6p_c --> adp_c + f26bp_c + h_c	2.7.1.105	117.502	0.0
R733_num2	0.0	mnl_c + nad_c --> fru_c + h_c + nadh_c	1.1.1.11,1.1.1.67	1778.09	0.0
R730_num5	0.0	MANNAN_e + h2o_e --> man_e		2270.125	0.0
R730_num4	0.0	MANNAN_e + h2o_e --> man_e		352.051	0.0
R730_num3	0.0	MANNAN_e + h2o_e --> man_e		4475.175	0.0
R730_num2	0.0	MANNAN_e + h2o_e --> man_e		820.972	0.0
R721_num2	0.0	atp_c + glu__L_c + 2.0 h_c + thf_c --> adp_c + pi_c + thfglu_c	6.3.2.17	832.239	0.0
R675_num2	0.0	C9HCOA_x + nad_x --> C9OCOA_x + h_x + nadh_x	1.1.1.35,1.1.1.211	722.551	0.0
R674_num5	0.0	C9DCOA_x + h2o_x --> C9HCOA_x	4.2.1.17,4.2.1.74	722.551	0.0
R674_num6	0.0	C9DCOA_x + h2o_x --> C9HCOA_x	4.2.1.17,4.2.1.74	763.402	0.0
R648_num4	0.0	fad_x + h_x + pentdcoa_x --> C15DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	569.99	0.0
R648_num2	0.0	fad_x + h_x + pentdcoa_x --> C15DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	220.809	0.0
R647_num8	0.0	fad_x + h_x + hepdcoa_x --> C17DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	2045.777	0.0
R647_num7	0.0	fad_x + h_x + hepdcoa_x --> C17DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	352.291	0.0
R647_num6	0.0	fad_x + h_x + hepdcoa_x --> C17DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	197.231	0.0
R647_num5	0.0	fad_x + h_x + hepdcoa_x --> C17DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	2418.476	0.0
R647_num4	0.0	fad_x + h_x + hepdcoa_x --> C17DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	569.99	0.0
R1243_num2	0.0	TRNA_m + atp_m + glu__L_m --> TRNAGLU_m + amp_m + ppi_m	6.1.1.17,6.1.1.24	1425.02	0.0
R647_num3	0.0	fad_x + h_x + hepdcoa_x --> C17DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	1428.869	0.0
R647_num2	0.0	fad_x + h_x + hepdcoa_x --> C17DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	220.809	0.0
R646_num8	0.0	C190COA_x + fad_x + h_x --> C19DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	2045.777	0.0
R646_num7	0.0	C190COA_x + fad_x + h_x --> C19DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	352.291	0.0
R646_num6	0.0	C190COA_x + fad_x + h_x --> C19DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	197.231	0.0
R646_num5	0.0	C190COA_x + fad_x + h_x --> C19DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	2418.476	0.0
R646_num4	0.0	C190COA_x + fad_x + h_x --> C19DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	569.99	0.0
R646_num3	0.0	C190COA_x + fad_x + h_x --> C19DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	1428.869	0.0
R646_num2	0.0	C190COA_x + fad_x + h_x --> C19DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	220.809	0.0
R645_num8	0.0	fad_x + h_x + stcoa_x --> fadh2_x + od2coa_x	1.3.8.7,1.3.8.8	2374.109	0.0
R648_num3	0.0	fad_x + h_x + pentdcoa_x --> C15DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	1428.869	0.0
R648_num5	0.0	fad_x + h_x + pentdcoa_x --> C15DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	2418.476	0.0
R645_num6	0.0	fad_x + h_x + stcoa_x --> fadh2_x + od2coa_x	1.3.8.7,1.3.8.8	242.926	0.0
R648_num6	0.0	fad_x + h_x + pentdcoa_x --> C15DCOA_x + fadh2_x	1.3.8.7,1.3.8.8	197.231	0.0
