reactionid	equation	flux
R1537	R1537: CEREB1_c + udpg_c --> GLUCER1_c + udp_c	8.501396267484237e-05
R1538	R1538_num1: C191SPH_c + ocdce9coa_c --> CEREB2_c + coa_c + h_c	8.522491543582214e-05
R1539	R1539: CEREB2_c + udpg_c --> glusideho_c + udp_c	8.522491543582213e-05
R1543	R1543: val__L_m --> val__L_c	0.0752749768762769
R1566	R1566: g6p_c --> f6p_c	6.009047984519336
R1568	R1568: g6p_c + udpg_c --> h_c + tre6p_c + udp_c	0.07981046123734166
R1569	R1569: h2o_c + tre6p_c --> pi_c + tre_c	0.07981046123734166
R1583	R1583: udpg_c --> 13GLUCAN_c + udp_c	0.2222738924856714
R1584	R1584: udpg_c --> 14GLUCAN_c + udp_c	0.031716747613306576
R1603	R1603: Ssq23epx_c --> lanost_c	0.012298545965119876
R1604	R1604: 2.0 h_c + lanost_c + 3.0 nadph_c + 3.0 o2_c --> DCTOL_c + for_c + 4.0 h2o_c + 3.0 nadp_c	0.012298545965119876
R1605	R1605: DCTOL_c + h_c + nadph_c --> DCDOL_c + nadp_c	0.012298545965119874
R1606	R1606: DCDOL_c + 2.0 h_c + 3.0 nadph_c + 3.0 o2_c --> DCDA_c + 4.0 h2o_c + 3.0 nadp_c	0.012298545965119874
R1607	R1607: DCDA_c + nadp_c --> CDOL_c + co2_c + nadph_c	0.012298545965119877
R1608	R1608: amet_c + zymst_c --> ahcys_c + fecost_c + h_c	0.012298545965119876
R1609	R1609: fecost_c --> epist_c	0.012298545965119876
R1610	R1610: epist_c --> DEHYD_c + 2.0 h_c	0.012298545965119876
R1611	R1611: DEHYD_c + nadph_c --> ergtetrol_c + 3.0 h_c + nadp_c	0.012298545965119876
R1612	R1612_num1: ergtetrol_c + h_c + nadph_c --> ergst_c + nadp_c	0.012298545965119876
R1632	R1632: 2.0 frdp_c + h_c + nadph_c --> nadp_c + 2.0 ppi_c + sql_c	0.012298545965119876
R1658	R1658: g6p_c --> mi3p__D_c	0.0192191536546849
R1664	R1664: 5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c	0.0050980250570108075
R1665	R1665: paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c	0.005098025057010808
R1680	R1680: aacoa_c + accoa_c + h2o_c --> H3MCOA_c + coa_c + h_c	0.07379127579071926
R1690	R1690_num1: H3MCOA_c + 2.0 h_c + 2.0 nadph_c --> coa_c + mev__R_c + 2.0 nadp_c	0.07379127579071926
R1691	R1691_num1: atp_c + mev__R_c --> 5pmev_c + adp_c + h_c	0.07379127579071926
R1692	R1692: 5pmev_c + atp_c --> 5dpmev_c + adp_c	0.07379127579071926
R1693	R1693: 5dpmev_c + atp_c --> adp_c + co2_c + ipdp_c + pi_c	0.07379127579071926
R1694	R1694: ipdp_c --> dmpp_c	0.02459709193023975
R1710	R1710: h2o_c + mnl1p_c --> mnl_c + pi_c	0.2958749002971267
R1818	R1818: 34hpp_c + glu__L_c --> akg_c + tyr__L_c	0.00826231647170718
R1822	R1822: ACLAC_m + h_m + nadph_m --> 23dhmb_m + nadp_m	0.21548824534082253
R1823	R1823_num1: 3c3hmp_m --> 2ippm_m + h2o_m	0.14021326846454563
R1824	R1824_num1: 2ippm_m + h2o_m --> 3c2hmp_m	0.14021326846454563
R1825	R1825: 3c2hmp_m + nad_m --> 3c4mop_m + h_m + nadh_m	0.14021326846454563
R1830	R1830_num1: h_m + 2.0 pyr_m --> ACLAC_m + co2_m	0.21548824534082253
R1831	R1831_num1: 2obut_m + h_m + pyr_m --> 2ahbut_m + co2_m	0.07070433372171549
R1836	R1836: 3mob_m + accoa_m + h2o_m --> 3c3hmp_m + coa_m + h_m	0.14021326846454563
R1864	R1864: 4mop_c + glu__L_c --> akg_c + leu__L_c	0.14021326846454563
R1869	R1869: udpg_c --> PSNIG_c + udp_c	0.02747659711761344
R1870	R1870: udpg_c --> NIG_c + udp_c	0.020708529369512885
R1871	R1871: DMIPC_c + udpgal_c --> GDMIPC_c + h_c + udp_c	3.4757983250764756e-05
R1872	R1872: GDMIPC_c + udpgal_c --> DGDMIPC_c + h_c + udp_c	3.4757983250764756e-05
R1873	R1873: DGDMIPC_c + udpgal_c --> TGDMIPC_c + h_c + udp_c	3.475798325076475e-05
R1960	R1960: 0.181 udpacgal_c + 0.065 udpg_c + 0.754 udpgal_c --> GAG_c + udp_c	0.0035060348874835735
R1961	R1961: 0.435 gdpmann_c + 0.1 udpg_c + 0.332 udpgal_c + 0.133 udpgalfur_c --> GGM_c + 0.435 gdp_c + 0.565 udp_c	0.031062794054269323
R1962	R1962: 0.5 o2_m + qh2_m --> h2o_m + q_m	3.9173144865043765
R1967	R1967: IPC_c + gdpmann_c --> MIPC_c + gdp_c	3.4757983250764756e-05
R1968	R1968: h_c + nadph_c + o2_c + sql_c --> Ssq23epx_c + h2o_c + nadp_c	0.012298545965119877
R1970	R1970: CDOL_c + h_c + nadph_c --> 4mzym_c + nadp_c	0.012298545965119877
R1971	R1971: 4mzym_c + o2_c --> co2_c + 2.0 h_c + zymst_c	0.012298545965119874
R1974	R1974: 0.0097602 amp_c + 0.13641 atp_c + 0.016694 cmp_c + 0.01794 gmp_c + 0.080349 h2o_c + 0.011701 ump_c --> RNA_c + 0.13641 adp_c + 0.13641 pi_c	0.35158793496626295
R1975	R1975_num1: atp_c + h2o_c --> adp_c + h_c + pi_c	2.8
R2042	R2042: datp_c + h2o_c --> damp_c + h_c + ppi_c	0.006574694383869117
R2157	R2157: 4.0 He_m + h_m + nadh_m + q_m --> 4.0 He_i + nad_m + qh2_m	3.706881685664008
R2158	R2158: 4.0 He_m + 2.0 ficytC_m + qh2_m --> 2.0 FERO_m + 4.0 He_i + 2.0 h_m + q_m	0.007470150437799723
R2159	R2159: 2.0 FERO_m + 4.0 He_m + 2.0 h_m + 0.5 o2_m --> 4.0 He_i + 2.0 ficytC_m + h2o_m	0.007470150437799723
R2160	R2160: 4.5454 He_i + adp_m + h_m + pi_m --> 4.5454 He_m + atp_m + h2o_m	3.2752426510666677
R2165	R2165: adp_c + atp_m --> adp_m + atp_c	2.530236804189707
R2166	R2166: 0.25 CLCDPDG_c + 0.25 PCCDPDG_c + 0.25 PECDPDG_c + 0.25 PSCDPDG_c --> CDPDG_c	0.0004900643590320751
R2203	R2203: o2_e --> o2_c	2.1120845046716283
R2237	R2237_num1: h_e + pi_e --> h_c + pi_c	0.0638147079610072
R2238	R2238: nh4_e --> nh4_c	2.6296928506399575
R2241	R2241: so4_e --> so4_c	0.005098025057010809
R2256	R2256: arab__D_e --> arab__D_c	0.010818360758911912
R2299	R2299: h_e --> h_c	19.355351663446168
R2308	R2308: pyr_c --> pyr_m	2.385477094429629
R2313	R2313: fum_m + succ_c --> fum_c + succ_m	0.2179029512781679
R2316	R2316: fum_c --> fum_m	0.34875181573006675
R2321	R2321: ile__L_m --> ile__L_c	0.07070433372171547
R2322	R2322: h_c + orn_m --> h_m + orn__L_c	0.08167387729266289
R2325	R2325: glu__L_c + h_c --> glu__L_m + h_m	0.7273651198582046
R2326	R2326: akg_m + mal__L_c --> akg_c + mal__L_m	1.0383798071293608
R2329	R2329: o2_c --> o2_m	1.962392318471088
R2331	R2331: nh4_c --> nh4_m	0.04786194685730516
R2334	R2334: coa_c --> coa_m	0.00017023887811055174
R2387	R2387: dcdp_c --> dcdp_m	0.006968472871031332
R2391	R2391: h2o_e --> 	2.048361539262647
R2392	R2392: co2_e --> 	24.32512185185592
R2422	R2422: etoh_e --> 	21.52220445710544
R2429	R2429: galt_e --> 	0.2782603447553169
Biomass	Biomass: BIOMASS_c --> 	0.3515879349662629
R2528	R2528: sbt__D_c --> sbt__D_m	0.27826034475531686
R2531	R2531: 0.25 CERB1A_c + 0.25 CERB1B_c + 0.25 CERB1C_c + 0.25 CERB1D_c --> CERB1_c	0.00010498415738092608
R2532	R2532: 0.25 CERB2A_c + 0.25 CERB2B_c + 0.25 CERB2C_c + 0.25 CERB2D_c --> CERB2_c	0.00014269547928540745
R2533	R2533: 0.5 GALCERA_c + 0.5 GALCERB_c --> GALCER_c	7.787672759502724e-05
R2534	R2534: 0.4157 TRNAALA_c + 0.2708 TRNAARG_c + 0.2144 TRNAASN_c + 0.2144 TRNAASP_c + 0.0053 TRNACYS_c + 0.4423 TRNAGLN_c + 0.4423 TRNAGLU_c + 0.3187 TRNAGLY_c + 0.0736 TRNAHIS_c + 0.2011 TRNAILE_c + 0.3988 TRNALEU_c + 0.3237 TRNALYS_c + 0.0092 TRNAMET_c + 0.1732 TRNAPHE_c + 0.2323 TRNAPRO_c + 0.271 TRNASER_c + 0.2631 TRNATHR_c + 0.0647 TRNATRP_c + 0.0235 TRNATYR_c + 0.2141 TRNAVAL_c --> PROTEIN_c + 4.5722 TRNA_c	0.3515879349662629
R2535	R2535: 0.6322 13GLUCAN_c + 0.09021 14GLUCAN_c + 0.009972 GAG_c + 0.08835 GGM_c + 0.0589 NIG_c + 0.07815 PSNIG_c + 0.3764 chtn_c --> CELLWALL_c	0.3515879349662629
