Sample ID	Series Accession	Study Title	Condition	Related Sample	PMID
an005007	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	CBS 141257 Medium with sbp   24h	GSM2121244,GSM2121245	27174630
an005008	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	ΔgaaR Medium with sbp   24h	GSM2121246,GSM2121247	27174630
an006001	GSE99865	In vivo functional analysis of L-rhamnose metabolic pathway in Aspergillus niger: a tool to identify the potential inducer of RhaR	CBS 141257 Mm + l-rhamnose   2h	GSM2656437,GSM2656438	29110642
an006002	GSE99865	In vivo functional analysis of L-rhamnose metabolic pathway in Aspergillus niger: a tool to identify the potential inducer of RhaR	CBS 141257 Mm + l-rhamnose   2h	GSM2656439,GSM2656440	29110642
an006003	GSE99865	In vivo functional analysis of L-rhamnose metabolic pathway in Aspergillus niger: a tool to identify the potential inducer of RhaR	CBS 141257 Mm + l-rhamnose   2h	GSM2656441,GSM2656442	29110642
an006004	GSE99865	In vivo functional analysis of L-rhamnose metabolic pathway in Aspergillus niger: a tool to identify the potential inducer of RhaR	CBS 141257 Mm + l-rhamnose   2h	GSM2656443,GSM2656444	29110642
an006005	GSE99865	In vivo functional analysis of L-rhamnose metabolic pathway in Aspergillus niger: a tool to identify the potential inducer of RhaR	CBS 141257 Mm + l-rhamnose   2h	GSM2656445,GSM2656446	29110642
an007001	GSE95776	Evidence for inducer function of 2-keto-3-deoxy-L-galactonate in D-galacturonic acid induced gene expression in Aspergillus niger	SDP20.6 Medium with ga   2h	GSM2525710,GSM2525711	28417461
an008001	GSE83819	Maturation of conidia on conidiophores of Aspergillus niger	N402  Glucose maturation on the conidiophore 2d	GSM2219084,GSM2219085	28011318
an008002	GSE83819	Maturation of conidia on conidiophores of Aspergillus niger	N402  Glucose maturation on the conidiophore 5d	GSM2219086,GSM2219087	28011318
an008003	GSE83819	Maturation of conidia on conidiophores of Aspergillus niger	N402  Glucose maturation on the conidiophore 8d	GSM2219088,GSM2219089	28011318
an009001	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-araR A  28° 2h	GSM2584483,GSM2584484	28955038
an009002	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-araR A  28° 8h	GSM2584485,GSM2584486	28955038
an009003	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-araRdelta-gaaR Ag  28° 2h	GSM2584487,GSM2584488	28955038
an009004	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-araRdelta-gaaR Ag  28° 8h	GSM2584489,GSM2584490	28955038
an009005	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-araRdelta-rhaR Ar  28° 2h	GSM2584491,GSM2584492	28955038
an009006	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-araRdelta-rhaR Ar  28° 8h	GSM2584493,GSM2584494	28955038
an009007	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-gaaR G  28° 2h	GSM2584495,GSM2584496	28955038
an009008	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-gaaR G  28° 8h	GSM2584497,GSM2584498	28955038
an009009	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-gaaRdelta-araRdelta-rhaR Gar  28° 2h	GSM2584499,GSM2584500	28955038
an009010	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-gaaRdelta-araRdelta-rhaR Gar  28° 8h	GSM2584501,GSM2584502	28955038
an009011	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-gaaRdelta-rhaR Gr  28° 2h	GSM2584503,GSM2584504	28955038
an009012	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-gaaRdelta-rhaR Gr  28° 8h	GSM2584505,GSM2584506	28955038
an009013	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-rhaR R  28° 2h	GSM2584507,GSM2584508	28955038
an009014	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	delta-rhaR R  28° 8h	GSM2584509,GSM2584510	28955038
an009015	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	N593 delta-kusA Ref  28° 2h	GSM2584511,GSM2584512	28955038
an009016	GSE97974	Combinatorial control of gene expression in Aspergillus niger grown on sugar beet pectin	N593 delta-kusA Ref  28° 8h	GSM2584513,GSM2584514	28955038
an010001	GSE74544	Transcriptome study on Aspergillus niger during citrate fermentation.	H915-1    6h	GSM1922437	28087530
an010002	GSE74544	Transcriptome study on Aspergillus niger during citrate fermentation.	H915-1    12h	GSM1922438	28087530
an010003	GSE74544	Transcriptome study on Aspergillus niger during citrate fermentation.	H915-1    24h	GSM1922439	28087530
an010004	GSE74544	Transcriptome study on Aspergillus niger during citrate fermentation.	H915-1    36h	GSM1922440	28087530
an010005	GSE74544	Transcriptome study on Aspergillus niger during citrate fermentation.	H915-1    48h	GSM1922441	28087530
an010006	GSE74544	Transcriptome study on Aspergillus niger during citrate fermentation.	H915-1  1.5vvm  	GSM1922442	28087530
an011001	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	N402  Glucose  	GSM2144329,GSM2144330,GSM2144331	27150814
an011002	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	N402  Straw  	GSM2144338,GSM2144339,GSM2144340	27150814
an011003	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	N402 A. niger+t. reesei  Straw  	GSM2144347,GSM2144348,GSM2144349	27150814
an011004	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	N402 A. niger+p. chrysogenum Straw  	GSM2144353,GSM2144354,GSM2144355	27150814
an011005	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	N402 A. niger+t. reesei+p. chrysogenum Straw  	GSM2144356,GSM2144357,GSM2144358	27150814
an012001	GSE93990	The FlbA-regulated transcription factor FusR of Aspergillus niger is involved in production of fumonisin	MA234.1  Glucose + xylose  	GSM2466360,GSM2466361	28965153
an012002	GSE93990	The FlbA-regulated transcription factor FusR of Aspergillus niger is involved in production of fumonisin	MA234.1  Glucose + xylose  	GSM2466362,GSM2466363	28965153
an013001	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK17.25 (derivative of MA169.4)    post exponential growth phase	GSM3369681,GSM3369682	30496528
an013002	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK11.17 (derivative of MA169.4) MjkB OE    post exponential growth phase	GSM3369683,GSM3369684	30496528
an013003	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK11.17 (derivative of MA169.4) MjkA OE    post exponential growth phase	GSM3369685,GSM3369686	30496528
an013004	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK17.25 (derivative of MA169.4) histone deacetylase    post exponential growth phase	GSM3369687,GSM3369688	30496528
an013005	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK14.7 (derivative of MA169.4) MjkA/{delta}MjkB    post exponential growth phase	GSM3369689,GSM3369690	30496528
an013006	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK15.4 (derivative of MA169.4) MjkA    post exponential growth phase	GSM3369691,GSM3369692	30496528
an013007	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK16.5  (derivative of MA169.4) MjkB    post exponential growth phase	GSM3369693,GSM3369694	30496528
an013008	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK17.25 (derivative of MA169.4)    exponential growth phase	GSM3369695,GSM3369696	30496528
an013009	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK10.12 (derivative of MA169.4) MjkA OE    exponential growth phase	GSM3369697,GSM3369698	30496528
an013010	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK10.12 (derivative of MA169.4) histone deacetylase    exponential growth phase	GSM3369699,GSM3369700	30496528
an013011	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK11.17 (derivative of MA169.4) MjkB OE    exponential growth phase	GSM3369701,GSM3369702	30496528
an013012	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK18.1 (derivative of MA169.4) MjkA/{delta}MjkB    exponential growth phase	GSM3369703,GSM3369704	30496528
an013013	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK15.4 (derivative of MA169.4) MjkA    exponential growth phase	GSM3369705,GSM3369706	30496528
an013014	GSE119311	Comparative transcriptomics of Aspergillus niger when deleted or overexpressed for the putative transcription factors MjkA, MjkB and the histon deactelyase HdaX	MJK16.5 (derivative of MA169.4) MjkB    exponential growth phase	GSM3369707,GSM3369708	30496528
an014001	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-1   	GSM3350357	31876091
an014002	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-2   	GSM3350358	31876091
an014003	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-3   	GSM3350359	31876091
an014004	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-4   	GSM3350360	31876091
an014005	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-5   	GSM3350361	31876091
an014006	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-6   	GSM3350362	31876091
an014007	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-7   	GSM3350363	31876091
an014008	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-8   	GSM3350364	31876091
an014009	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P7-9   	GSM3350365	31876091
an014010	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-1   	GSM3350366	31876091
an014011	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-2   	GSM3350367	31876091
an014012	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-3   	GSM3350368	31876091
an014013	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-4   	GSM3350369	31876091
an014014	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-5   	GSM3350370	31876091
an014015	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-6   	GSM3350371	31876091
an014016	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-7   	GSM3350372	31876091
an014017	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-8   	GSM3350373	31876091
an014018	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P11-9   	GSM3350374	31876091
an014019	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-1   	GSM3350375	31876091
an014020	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-2   	GSM3350376	31876091
an014021	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-3   	GSM3350377	31876091
an014022	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-4   	GSM3350378	31876091
an014023	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-5   	GSM3350379	31876091
an014024	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-6   	GSM3350380	31876091
an014025	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-7   	GSM3350381	31876091
an014026	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-8   	GSM3350382	31876091
an014027	GSE118894	An Aspergillus niger colony locally adapts its molecular responses to spatially separated substrates	N402 P14-9   	GSM3350383	31876091
an015001	GSE135001	Evolutionary adaptation of Aspergillus niger for increased ferulic acid tolerance	Fa6 Pc  30° 2h	GSM3983442,GSM3983443	31674709
an015002	GSE135001	Evolutionary adaptation of Aspergillus niger for increased ferulic acid tolerance	Fa6 Fa  30° 2h	GSM3983444,GSM3983445	31674709
an015003	GSE135001	Evolutionary adaptation of Aspergillus niger for increased ferulic acid tolerance	Fa6 Nc  30° 2h	GSM3983446,GSM3983447	31674709
an015004	GSE135001	Evolutionary adaptation of Aspergillus niger for increased ferulic acid tolerance	N402 Fa  30° 2h	GSM3983448,GSM3983449	31674709
an016001	GSE134999	Discovery and characterization of a novel p-hydroxybenzoate-m-hydroxylase, protocatechuate 3,4 ring-cleavage dioxygenase and hydroxyquinol 1,2 ring-cleavage dioxygenase from Aspergillus niger	N402 Pc  30° 2h	GSM3983426,GSM3983427	31674709
an016002	GSE134999	Discovery and characterization of a novel p-hydroxybenzoate-m-hydroxylase, protocatechuate 3,4 ring-cleavage dioxygenase and hydroxyquinol 1,2 ring-cleavage dioxygenase from Aspergillus niger	N402 Ca  30° 2h	GSM3983428,GSM3983429	31674709
an016003	GSE134999	Discovery and characterization of a novel p-hydroxybenzoate-m-hydroxylase, protocatechuate 3,4 ring-cleavage dioxygenase and hydroxyquinol 1,2 ring-cleavage dioxygenase from Aspergillus niger	N402 Ph  30° 2h	GSM3983430,GSM3983431	31674709
an016004	GSE134999	Discovery and characterization of a novel p-hydroxybenzoate-m-hydroxylase, protocatechuate 3,4 ring-cleavage dioxygenase and hydroxyquinol 1,2 ring-cleavage dioxygenase from Aspergillus niger	N402 Pr  30° 2h	GSM3983432,GSM3983433	31674709
an016005	GSE134999	Discovery and characterization of a novel p-hydroxybenzoate-m-hydroxylase, protocatechuate 3,4 ring-cleavage dioxygenase and hydroxyquinol 1,2 ring-cleavage dioxygenase from Aspergillus niger	N402 Nc  30° 2h	GSM3983434,GSM3983435	31674709
an017001	GSE142461	A seven-membered cell wall related transglycosylase gene family in Aspergillus niger is relevant for cell wall integrity in cell wall mutants with reduced 伪-glucan or galactomannan	MA234.1 Percentage of maximum biomass: 70% Glucose  	GSM4227764,GSM4227765	32743151
an017002	GSE142461	A seven-membered cell wall related transglycosylase gene family in Aspergillus niger is relevant for cell wall integrity in cell wall mutants with reduced 伪-glucan or galactomannan	TLF39 Percentage of maximum biomass: 70% Glucose  	GSM4227766,GSM4227767	32743151
an017003	GSE142461	A seven-membered cell wall related transglycosylase gene family in Aspergillus niger is relevant for cell wall integrity in cell wall mutants with reduced 伪-glucan or galactomannan	TLF39 Percentage of maximum biomass: 70% Glucose  	GSM4227768,GSM4227769	32743151
an017004	GSE142461	A seven-membered cell wall related transglycosylase gene family in Aspergillus niger is relevant for cell wall integrity in cell wall mutants with reduced 伪-glucan or galactomannan	MA234.1 Percentage of maximum biomass: 70% Glucose  	GSM4227770,GSM4227771	32743151
an018001	GSE151618	Deletion of the Aspergillus niger pro-protein processing protease gene kexB results in a pH-dependent morphological transition during submerged cultivations and increases cell wall chitin content	AB4.1deltapclA Percentage of maximum biomass: 90percent Glucose  	GSM4586710	33276589
an018002	GSE151618	Deletion of the Aspergillus niger pro-protein processing protease gene kexB results in a pH-dependent morphological transition during submerged cultivations and increases cell wall chitin content	N402 Percentage of maximum biomass: 90percent Glucose  	GSM4586711	33276589
an018003	GSE151618	Deletion of the Aspergillus niger pro-protein processing protease gene kexB results in a pH-dependent morphological transition during submerged cultivations and increases cell wall chitin content	AB4.1deltapclA Percentage of maximum biomass: 90percent Glucose  	GSM4586712	33276589
an018004	GSE151618	Deletion of the Aspergillus niger pro-protein processing protease gene kexB results in a pH-dependent morphological transition during submerged cultivations and increases cell wall chitin content	N402 Percentage of maximum biomass: 90percent Glucose  	GSM4586713	33276589
an019001	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA parent 1xmm +1% wheat bran   2h	GSM4964905,GSM4964906,GSM4964907	33763411
an019002	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA parent 1xmm +1% wheat bran   8h	GSM4964908,GSM4964909,GSM4964910	33763411
an019003	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA parent 1xmm +1% wheat bran   24h	GSM4964911,GSM4964912,GSM4964913	33763411
an019004	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA parent 1xmm + 1% sugar beet pulp   2h	GSM4964914,GSM4964915,GSM4964916	33763411
an019005	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA parent 1xmm + 1% sugar beet pulp   8h	GSM4964917,GSM4964918,GSM4964919	33763411
an019006	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA parent 1xmm + 1% sugar beet pulp   24h	GSM4964920,GSM4964921,GSM4964922	33763411
an019007	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA xkiA 1xmm +1% wheat bran   2h	GSM4964923,GSM4964924,GSM4964925	33763411
an019008	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA xkiA 1xmm +1% wheat bran   8h	GSM4964926,GSM4964927,GSM4964928	33763411
an019009	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA xkiA 1xmm +1% wheat bran   24h	GSM4964929,GSM4964930,GSM4964931	33763411
an019010	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA xkiA 1xmm + 1% sugar beet pulp   2h	GSM4964932,GSM4964933,GSM4964934	33763411
an019011	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA xkiA 1xmm + 1% sugar beet pulp   8h	GSM4964935,GSM4964936,GSM4964937	33763411
an019012	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA xkiA 1xmm + 1% sugar beet pulp   24h	GSM4964938,GSM4964939,GSM4964940	33763411
an019013	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA larA/larB/xyrA 1xmm +1% wheat bran   2h	GSM4964941,GSM4964942,GSM4964943	33763411
an019014	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA larA/larB/xyrA 1xmm +1% wheat bran   8h	GSM4964944,GSM4964945,GSM4964946	33763411
an019015	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA larA/larB/xyrA 1xmm +1% wheat bran   24h	GSM4964947,GSM4964948,GSM4964949	33763411
an019016	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA larA/larB/xyrA 1xmm + 1% sugar beet pulp   2h	GSM4964950,GSM4964951,GSM4964952	33763411
an019017	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA larA/larB/xyrA 1xmm + 1% sugar beet pulp   8h	GSM4964953,GSM4964954,GSM4964955	33763411
an019018	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA larA/larB/xyrA 1xmm + 1% sugar beet pulp   24h	GSM4964956,GSM4964957,GSM4964958	33763411
an019019	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA ladA/xdhA/sdhA 1xmm +1% wheat bran   2h	GSM4964959,GSM4964960,GSM4964961	33763411
an019020	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA ladA/xdhA/sdhA 1xmm +1% wheat bran   8h	GSM4964962,GSM4964963,GSM4964964	33763411
an019021	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA ladA/xdhA/sdhA 1xmm +1% wheat bran   24h	GSM4964965,GSM4964966,GSM4964967	33763411
an019022	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA ladA/xdhA/sdhA 1xmm + 1% sugar beet pulp   2h	GSM4964968,GSM4964969,GSM4964970	33763411
an019023	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA ladA/xdhA/sdhA 1xmm + 1% sugar beet pulp   8h	GSM4964971,GSM4964972,GSM4964973	33763411
an019024	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA ladA/xdhA/sdhA 1xmm + 1% sugar beet pulp   24h	GSM4964974,GSM4964975,GSM4964976	33763411
an019025	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA lxrA/lxrB 1xmm +1% wheat bran   2h	GSM4964977,GSM4964978,GSM4964979	33763411
an019026	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA lxrA/lxrB 1xmm +1% wheat bran   8h	GSM4964980,GSM4964981,GSM4964982	33763411
an019027	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA lxrA/lxrB 1xmm +1% wheat bran   24h	GSM4964983,GSM4964984,GSM4964985	33763411
an019028	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA lxrA/lxrB 1xmm + 1% sugar beet pulp   2h	GSM4964986,GSM4964987,GSM4964988	33763411
an019029	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA lxrA/lxrB 1xmm + 1% sugar beet pulp   8h	GSM4964989,GSM4964990,GSM4964991	33763411
an019030	GSE162901	Re-routing of sugar catabolism provides a better insight into fungal flexibility in using plant biomass-derived monomers as substrates	N593 delta-kusA lxrA/lxrB 1xmm + 1% sugar beet pulp   24h	GSM4964992,GSM4964993,GSM4964994	33763411
an020001	GSE154865	Identification of three enzymes of the vanillin and vanillic acid metabolic pathway in the filamentous fungi Aspergillus niger	N402 Incubation on cinnamic acid   2h	GSM4681730,GSM4681731	34344380
