Keyword,Year,Count
Crystallization,2021,1
Cyclic voltammetry,2017,1
Cytosine base editor,2022,1
Cytotoxicity,2014,1
Decalin,2021,1
Decolorization,2018,3
Decolorization,2021,1
Deep eutectic solvent,2021,1
Degree of substitution,2013,1
Depolymerisation,2022,1
Different fungal species,2021,1
Differential scanning calorimetry,2015,1
Direct electron transfer,2020,1
Directed evolution,2018,1
Disulfide bond,2023,1
Docking simulation,2022,1
Dpph,2017,1
Dsc,2015,1
Dyadic,2022,1
Dye,2014,1
Efficacy,2022,1
Electron donor,2016,1
Electroporation,2019,1
Elenolic acid,2017,1
Elimination,2018,1
Endoglucanase,2015,1
Endoglucanase,2017,1
Endoglucanases,2023,1
Endoxylanase,2019,1
Endoxylanase,2021,1
Enzymatic characteristics,2023,1
Enzymatic deacetylation,2014,1
Enzymatic degradation,2023,1
Enzymatic hydrolysis,2017,3
Enzymatic hydrolysis,2019,1
Enzymatic hydrolysis,2023,1
Enzymatic oligomerization,2016,1
Enzymatic oxidation,2014,1
Enzymatic oxidation,2022,1
Enzymatic saccharification,2015,1
Enzymatic saccharification,2016,1
Enzymatic saccharification,2017,1
Enzymatic tailoring,2017,1
Enzyme,2020,1
Enzyme activity,2019,1
Enzyme assay,2020,1
Enzyme electrodes,2013,1
Enzyme engineering,2023,1
Enzyme hypersecretion,2021,1
Enzyme immobilisation,2017,1
Enzyme immobilization,2016,2
Enzyme immobilization,2018,1
Enzyme mixture,2016,1
Enzyme stability,2019,1
Enzyme synergism,2023,1
Enzymes,2021,2
Enzymes,2023,1
Epinephrine,2020,1
Epr,2017,1
Er stress,2022,1
Escherichia coli,2019,1
Esterification,2017,1
Ethanol,2016,1
Ethanol,2020,1
Ethanol fermentation,2020,1
Ethanol tolerance,2013,1
Ethyl ferulate,2014,1
Eucalypt,2023,1
Eucalyptus dissolving pulp,2023,1
Eucalyptus globulus,2018,1
Experimental design,2016,1
Expression,2018,1
Expression optimization,2018,1
Extremozyme,2021,1
Ferulic acid,2014,1
Ferulic acid,2017,1
Ferulic acid,2021,1
Ferulic acid,2022,1
Feruloyl esterase,2017,1
Feruloyl esterase,2018,1
Filamentous fungi,2017,1
Filamentous fungi,2019,2
Filamentous fungi,2020,1
Filamentous fungi,2022,3
Filamentous fungi,2023,1
Filamentous fungus,2020,1
Filamentous fungus,2023,1
Fixed bioreactor,2021,1
Flavonoids,2016,1
Flow cytometry,2022,1
Fluorophenol,2021,1
Food protein,2019,1
Freezing,2021,1
Ftacv,2020,1
Fuel cells,2013,1
Fumaric acid,2018,1
Fumed silica nanoparticles,2016,1
Functional properties,2022,1
Functionalization,2017,1
Functionalization,2021,1
Fungal biotechnology,2021,1
Fungal enzyme production,2021,1
Fungal enzymes,2016,1
Fungal growth,2023,1
Fungal laccase,2023,1
Galactose transport,2021,1
Galactose utilization,2021,1
Gallic acid,2016,1
Gene editing,2020,1
Gene expression,2018,1
Gene regulation,2023,2
Genetic engineering,2023,1
Genome editing,2019,2
Glucan,2016,1
Glucoamylase,2015,1
Glucoamylase,2022,1
Glucoamylase,2023,1
Glucosamine,2022,1
Glucose and ethanol tolerance,2023,1
Glucose oxidation,2013,1
Glucuronic acid recognition,2021,1
Glucuronoxylan,2019,1
Glycans,2022,1
Glycerol,2015,1
Glycolysis,2022,1
Glycoprotein,2022,1
Glycoside hydrolase,2021,1
Glycoside hydrolase,2022,1
Glycoside hydrolases,2019,1
Glycosylation,2022,1
Grafting,2023,1
Green processing,2016,1
Growth kinetics,2021,1
Guaiacol,2021,1
Gum arabic,2021,1
Hamster,2023,1
Hbt,2018,1
Hemicellulase,2023,1
Hermetia illucens,2022,1
Heterologous production,2015,1
Heterologous production,2019,1
Heterologous protein expression,2021,1
Homology modelling,2022,1
Hpi,2018,1
Hpsec,2013,1
Hybrid,2021,1
Hydrogen peroxide,2017,1
Hydrolysis,2015,1
Hydrolysis,2016,1
Hydrolytic activity,2021,1
Hydrolytic enzymes,2016,1
Hydrophobicity,2021,1
Hydroxytyrosol,2017,1
Hygromycin b phosphotransferase gene hph,2019,1
Hymenaea courbaril,2021,1
Igg,2022,1
Immobilisation,2010,1
Immobilization,2014,1
Immobilization,2018,1
Immobilization,2021,1
Improved production,2021,1
In vivo grna transcription,2020,1
Industrially relevant fungi,2018,1
Infant,2016,1
Influenza vaccine,2022,1
Insect,2022,1
Insect cells,2022,1
Intranasal challenge,2022,1
Invasive pulmonary infection,2023,1
Ionic liquid,2014,1
Ionic liquid,2022,1
Isocyanide,2018,1
Isomaltooligosaccharides,2023,1
Itraconazole,2016,1
Kinetic analysis,2021,1
Kinetics,2021,1
Kraft lignin,2018,1
Kraft lignin,2021,1
Kraft lignin,2023,1
Laccase,2010,1
Laccase,2014,2
Laccase,2016,4
Laccase,2017,1
Laccase,2018,8
Laccase,2020,1
Laccase,2021,4
Laccase,2022,1
Laccase,2023,1
Laccase,2024,1
Laccase kinetics,2017,1
Laccases,2018,1
Laea,2023,1
Library,2018,1
Lignin,2016,3
Lignin,2022,1
Lignin degrading enzymes,2022,1
Lignocellulolytic enzymes,2014,1
Lignocellulolytic enzymes,2021,1
Lignocellulolytic enzymes,2023,1
Lignocellulose,2016,1
Lignocellulose,2017,2
Lignocellulose,2018,1
Lignocellulose,2022,1
Lignocellulosic biomass,2017,2
Lignocellulosic biomass,2020,1
Lignocellulosic biomass,2021,1
Lignosulfonate,2021,1
Logistic model,2021,1
Loop,2023,1
Low temperature,2021,1
Lpmo,2015,1
Lpmo,2017,2
Lpmo,2020,1
Lpmo,2023,1
Lpmo biocatalysis,2021,1
Lpmos,2022,1
Lyophilization,2021,1
Lytic polysaccharide monooxygenase,2017,2
Lytic polysaccharide monooxygenase,2018,1
Lytic polysaccharide monooxygenase,2019,1
Lytic polysaccharide monooxygenase,2020,1
Lytic polysaccharide monooxygenase,2021,1
Lytic polysaccharide monooxygenase,2022,1
Lytic polysaccharide monooxygenase,2023,2
Macromolecular assemblages,2013,1
Malate export,2023,1
Malbranchea cinamomea,2017,1
Malic acid,2019,1
Malic acid,2021,1
Malonic acid,2021,1
Marine fungi,2019,1
Marker recycling,2019,1
Mass spectrometric fragmentation,2022,1
Mass spectrometry,2014,1
Md simulation,2023,1
Mdf,2021,1
Mediator,2021,1
Melanin,2021,1
Melting temperature,2015,1
Mesoporous silicates,2010,1
Metabolic engineering,2018,1
Metabolic engineering,2019,1
Metabolic engineering,2020,1
Metabolic engineering,2021,3
Metabolic engineering,2022,1
Metabolic engineering,2023,1
Metabolic regulation,2022,1
Metal ion effect,2020,1
Metalloprotein,2019,1
Mhglaa,2020,1
Microbial biofilms,2023,1
Micropollutants,2016,1
Microwaves,2015,1
Mitochondrial shuttle,2023,1
Mode of action,2017,1
Mode of action,2021,1
Modeling,2015,1
Modification,2021,1
Molecular docking,2022,1
Molecular docking,2023,1
Molecular dynamics,2020,1
Molecular mechanism,2023,1
Monophenol,2023,1
Morphine,2018,1
Morphology,2023,1
Mtgal,2015,1
Mtperii peroxidase,2017,1
Multicopper oxidase,2020,1
Multiplexing,2019,1
Multivariate analysis,2017,1
Myceliophthora,2017,1
Myceliophthora,2021,2
Myceliophthora,2023,2
Myceliophthora thermophila,2013,2
Myceliophthora thermophila,2014,2
Myceliophthora thermophila,2015,3
Myceliophthora thermophila,2016,4
Myceliophthora thermophila,2017,8
Myceliophthora thermophila,2018,7
Myceliophthora thermophila,2019,5
Myceliophthora thermophila,2020,5
Myceliophthora thermophila,2021,3
Myceliophthora thermophila,2022,9
Myceliophthora thermophila,2023,7
Myceliophthora thermophile,2020,1
Myceliophthora thermophile laccase,2018,1
Myceliophtora sp,2014,1
Mycoprotein,2022,1
Mycoremediation,2014,1
Nanocellulose,2021,1
Natural mediators,2021,1
Neurospora crassa,2021,1
Neutralizing antibodies,2022,1
Nucleocytoplasmic transport,2013,1
Nutrition,2021,1
Oleuropein,2017,1
Oleuropein aglycones,2017,1
Oligosaccharide,2016,1
Overexpression,2013,1
Oxaloacetic acid,2021,1
Oxidase,2016,1
Oxidase,2018,1
Oxidation,2017,1
Oxidation,2018,1
Oxidation product,2021,1
Oxidative cleavage,2022,1
Oxygen consumption rate,2017,1
Oxygen reduction,2013,1
Oxygenase,2019,1
Ozonolysis,2016,1
Packing density,2021,1
Paenibacillus odorifer,2020,1
Pandemic,2022,1
Pbmcs,2018,1
Pcbs,2014,1
Pectin,2017,1
Penicillium citrinum,2017,1
Penicillium verruculosum,2015,1
Pentose catabolism,2019,1
Peroxygenase,2023,1
Phenol biodegradation,2018,1
Phenol grafting,2021,1
Phenolic compound extraction,2018,1
Phenolics,2016,1
Phenolics,2018,1
Phenols,2017,1
Phenoxy radicals in lignin,2017,1
Pichia pastoris,2013,1
Pichia pastoris,2015,1
Pichia pastoris,2016,1
Pichia pastoris,2017,2
Pichia pastoris,2018,1
Pichia pastoris,2019,1
Pichia pastoris,2021,1
Pilot scale,2018,1
Plant biomass,2014,1
Plant biomass,2018,1
Plant biomass,2021,1
Platform,2020,1
Polyaniline,2018,1
Polyaromatic hydrocarbons,2024,1
Polycatechol,2015,1
Polymerisation,2016,1
Polymerization,2017,1
Polymerization,2018,1
Polymerization,2023,1
Polyphenol oxidase,2017,1
Polyphenol oxidase,2021,1
Polyphenol oxidase,2023,1
Polysaccharide,2019,1
Polysaccharide monooxygenase,2019,1
Position of acetyl groups,2014,1
Poultry feed,2021,1
Ppo,2017,1
Precise engineering,2022,1
Prenyl ferulate,2017,1
Preservation,2021,1
Pretreated corn cobs,2021,1
Pretreatment,2015,1
Pretreatment,2020,1
Priming reduction,2023,1
Process optimization,2021,1
Processivity,2017,2
Processivity,2020,2
Production,2021,1
Productivity,2014,1
Promoter,2023,1
Prophylaxis,2016,1
Protease,2019,1
Protease,2020,1
Protein design,2015,1
Protein engineering,2021,2
Protein evolution,2016,1
Protein expression,2023,1
Purification,2021,1
Pyrogallol,2016,1
Rbd,2022,1
Reaction kinetics,2020,1
Real time assay,2017,1
Receptor binding domain,2022,1
Recombinant cellobiohydrolase,2021,1
Recombinant protein,2022,1
Recombinant protein expression,2022,1
Recombinant protein subunit vaccine,2022,1
Redox chemistry,2013,1
Reducing agent,2018,1
Reduction,2022,1
Reductive tca,2018,1
Renatured xanthan,2013,1
Response surface methodology,2020,1
Response surface methodology,2023,1
Rice straw,2019,1
Rmn,2022,1
Rna interference,2015,1
Rna polymerase,2016,1
Rnai,2018,1
Rnp,2019,1
Saccharification,2018,1
Saccharification,2019,1
Saccharification,2023,2
Saccharomyces cerevisiae,2018,1
Secondary effluent,2016,1
Secretion,2023,1
Secretome,2023,1
Secretome composition,2016,1
Sequential solid state and submerged cultivation,2021,1
Signal peptide,2023,1
Signal transduction,2023,1
Single and mixed fungal species cultivation,2021,1
Solid media,2014,1
Solvent tolerance,2021,1
Soy polysaccharides,2017,1
Soy spent flake,2017,1
Sporotrichum thermophile,2016,1
Spray dryer,2017,1
Stabilisation,2010,1
Stability,2014,1
Stability,2022,1
Starch,2018,1
Starch,2019,1
Structural analysis,2020,1
Structure modelling,2023,1
Sugar uptake,2020,1
Sugarcane bagasse,2014,1
Sugarcane bagasse,2016,1
Sugarcane bagasse,2019,1
Sugarcane bagasse,2020,1
Sugarcane bagasse,2023,2
Superficial fungal infections,2016,1
Surface modifacation,2022,1
Swelling,2017,1
Synergism,2016,1
Synergy,2019,1
Synergy,2022,1
Systemic fungal infections,2016,1
Talaromyces leycettanus,2017,1
Talaromyces stipitatus galactanase,2015,1
Tamarindus indica,2021,1
Targeted influenza hemagglutinin,2022,1
Tempo,2018,1
Textile dyes,2018,2
Thermodynamics,2023,1
Thermophilic,2013,1
Thermophilic fungi,2012,1
Thermophilic fungi,2015,1
Thermophilic fungi,2017,1
Thermophilic fungi,2019,1
Thermophilic fungi,2021,1
Thermophilic fungi,2022,2
Thermophilic mould,2016,1
Thermophilic mould,2017,1
Thermostability,2015,2
Thermostability,2017,1
Thermostability,2020,1
Thermostability,2021,1
Thermostability,2023,2
Thermostable,2023,1
Thermostable cellulose,2021,1
Thermostable enzymes,2016,1
Thermothelomyces heterothallica,2022,1
Thermothelomyces heterothallica,2023,1
Thermothelomyces thermophila,2019,1
Thermothelomyces thermophila,2020,1
Thermothelomyces thermophila,2021,1
Thermothelomyces thermophila,2023,1
Thermothelomyces thermophilus,2019,2
Thermothelomyces thermophilus,2020,1
Thermothelomyces thermophilus,2021,1
Thermothelomyces thermophilus,2023,2
Thermotolerant,2016,1
Thermotolerant mutant,2022,1
Thielavia australiensis,2020,1
Thielavia terrestris,2017,1
Tm,2015,1
Toxicity,2018,1
Toxicology,2022,1
Trametes versicolor,2018,1
Transceptor,2023,1
Transcription factor,2018,1
Transcription factor,2022,1
Transcription factors,2023,1
Transcriptomic profiles,2018,1
Transcriptomic profiles,2021,1
Transcriptomics,2022,1
Transcriptomics,2023,1
Transesterification,2017,1
Transglycosylation,2013,1
Transporter,2021,1
Trehalase,2020,1
Trichoderma longibrachiatum,2023,1
Trichoderma reesei,2017,2
Trichoderma reesei,2020,1
Trimeric influenza hemagglutinin,2022,1
Tsgal,2015,1
Tyrosinase,2017,1
Tyrosinase,2021,1
Ultrasound,2017,1
Vaccine,2022,1
Vaccine,2023,1
Variants of concern,2022,1
Virus,2022,1
Viscosity,2017,1
Viscosity reduction,2021,1
Wastewater,2018,1
Weimberg pathway,2023,1
Wild type,2015,1
Wood,2018,1
Wood hydrophobization,2021,1
Wood hydrophobization,2023,1
Wound enzymes,2018,1
Wt,2015,1
Xanthan conformation,2014,1
Xylan,2015,1
Xylan,2016,2
Xylan,2021,1
Xylan degradation,2019,1
Xylanase,2012,1
Xylanase,2018,1
Xylanase,2020,1
Xylanase,2021,1
Xylanase,2022,1
Xylanases,2018,1
Xylanolytic regulator,2019,1
Xylobiohydrolase,2019,1
Xylobiohydrolase,2021,1
Xyloglucan,2017,1
Xyloglucan,2021,1
Xyloglucan,2022,1
Xyloglucanase,2017,1
Xyloglucanase,2020,2
Xyloglucanase,2021,1
Xylooligosaccharides,2019,2
Xylose,2016,1
Xylose,2021,1
Zoonotic,2022,1
