Sample ID	Strain	Strategy	Carbon Sources	Temperature	Time	Study Title	Series Accession	Related Sample
tr009001	QM6a		Sugarcane			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688537,GSM2688538,GSM2688539
tr009002	QM6a		Glucose			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688540,GSM2688541,GSM2688542
tr009003	QM6a		Glycerol			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688543,GSM2688544,GSM2688545
tr009004	tmk1		Sugarcane			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688546,GSM2688547,GSM2688548
tr009005	tmk1		Glucose			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688549,GSM2688550,GSM2688551
tr009006	tmk1		Glycerol			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688552,GSM2688553,GSM2688554
tr009007	tmk2		Sugarcane			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688555,GSM2688556,GSM2688557
tr009008	tmk2		Glucose			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688558,GSM2688559,GSM2688560
tr009009	tmk2		Glycerol			Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	GSE100602	GSM2688561,GSM2688562,GSM2688563
tr010001	QM9414		L-arabinose			ARA1 regulates not only L-arabinose but also D-galactose catabolism in Trichoderma reesei	GSE104606	GSM2804019
tr010002	QM9414 Δxyr1Δara1		L-arabinose			ARA1 regulates not only L-arabinose but also D-galactose catabolism in Trichoderma reesei	GSE104606	GSM2804024,GSM2804033
tr011001	QM6a	Constant light				YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	GSE119126	GSM3358789,GSM3358790
tr011002	ypr2	Constant light				YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	GSE119126	GSM3358791,GSM3358792
tr011003	QM6a	Constant darkness				YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	GSE119126	GSM3358793,GSM3358794
tr011004	ypr2	Constant darkness				YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	GSE119126	GSM3358795,GSM3358796
tr012001	RUT-C30		Glucose	24h		Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	GSE82287	GSM2188043,GSM2188044,GSM2188045,GSM2188046,GSM2188047,GSM2188048
tr012002	RUT-C30		Glucose	48h		Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	GSE82287	GSM2188049,GSM2188050,GSM2188051,GSM2188052,GSM2188053,GSM2188054
tr012003	RUT-C30		Lactose	24h		Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	GSE82287	GSM2188055,GSM2188056,GSM2188057,GSM2188058,GSM2188059,GSM2188060
tr012004	RUT-C30		Lactose	48h		Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	GSE82287	GSM2188061,GSM2188062,GSM2188063,GSM2188064,GSM2188065,GSM2188066
tr012005	RUT-C30		Glucose 90%-lactose 10%	24h		Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	GSE82287	GSM2188067,GSM2188068,GSM2188069,GSM2188070,GSM2188071,GSM2188072
tr012006	RUT-C30		Glucose 90%-lactose 10%	48h		Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	GSE82287	GSM2188073,GSM2188074,GSM2188075,GSM2188076,GSM2188077,GSM2188078
tr013001	QPP		1% (w/v) cellulose			The effects of gul1 deletion on the transcriptome of Trichoderma reesei	GSE147192	GSM4420167,GSM4420168,GSM4420169
tr013002	dgul1		1% (w/v) cellulose			The effects of gul1 deletion on the transcriptome of Trichoderma reesei	GSE147192	GSM4420170,GSM4420171,GSM4420172
tr014001	QM6a	Cellulose in darkness				RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	GSE216955	GSM6701328,GSM6701329,GSM6701330
tr014002	rgs4	Cellulose in darkness				RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	GSE216955	GSM6701331,GSM6701332,GSM6701333
tr014003	QM6a	Cellulose in light				RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	GSE216955	GSM6701334,GSM6701335,GSM6701336
tr014004	rgs4	Cellulose in light				RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	GSE216955	GSM6701337,GSM6701338,GSM6701339
