Sample ID	Series Accession	Study Title	Condition	Related Sample	PMID
tr005003	GSE59600	The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	Retransformed kap8  Sophorose  3h	GSM1440314,GSM1440315,GSM1440316	25626518
tr005004	GSE59600	The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	Retransformed kap8  Glycerol  	GSM1440317,GSM1440318,GSM1440319	25626518
tr006001	GSE66915	Genome-wide RNA-seq analysis during CRE1-mediated carbon catabolite repression in Trichoderma reesei grown in sophorose	Δcre1  Sophorose  	GSM1634264,GSM1634265,GSM1634266	27226768
tr006002	GSE66915	Genome-wide RNA-seq analysis during CRE1-mediated carbon catabolite repression in Trichoderma reesei grown in sophorose	QM9414  Sophorose  	GSM1634267,GSM1634268,GSM1634269	27226768
tr007001	GSE89199	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	QM9978 cellulase negative  Glucose  	GSM2360585,GSM2360586	28912831
tr007002	GSE89199	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	QM9978 cellulase negative  Lactose  24h 	GSM2360587,GSM2360588	28912831
tr007003	GSE89199	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	QM9978 cellulase negative  Lactose  48h	GSM2360589,GSM2360590	28912831
tr007004	GSE89199	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	QM6a wild type  Glucose  	GSM2360591,GSM2360592	28912831
tr007005	GSE89199	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	QM6a wild type  Lactose  24h	GSM2360593,GSM2360594	28912831
tr007006	GSE89199	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	QM6a wild type  Lactose  48h	GSM2360595,GSM2360596	28912831
tr008001	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	QM6a  Glucose  	GSM2144332,GSM2144333,GSM2144334	27150814
tr008002	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	QM6a  Straw  	GSM2144341,GSM2144342,GSM2144343	27150814
tr008003	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	QM6a A. niger+T. reesei  Straw  	GSM2144347,GSM2144348,GSM2144349	27150814
tr008004	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	QM6a T. reesei+P. chrysogenum  Straw  	GSM2144350,GSM2144351,GSM2144352	27150814
tr008005	GSE81187	Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	QM6a A. niger+T. reesei+P. chrysogenum  Straw  	GSM2144356,GSM2144357,GSM2144358	27150814
tr009001	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	QM6a  Sugarcane  	GSM2688537,GSM2688538,GSM2688539	30297963
tr009002	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	QM6a  Glucose  	GSM2688540,GSM2688541,GSM2688542	30297963
tr009003	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	QM6a  Glycerol  	GSM2688543,GSM2688544,GSM2688545	30297963
tr009004	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	tmk1  Sugarcane  	GSM2688546,GSM2688547,GSM2688548	30297963
tr009005	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	tmk1  Glucose  	GSM2688549,GSM2688550,GSM2688551	30297963
tr009006	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	tmk1  Glycerol  	GSM2688552,GSM2688553,GSM2688554	30297963
tr009007	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	tmk2  Sugarcane  	GSM2688555,GSM2688556,GSM2688557	30297963
tr009008	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	tmk2  Glucose  	GSM2688558,GSM2688559,GSM2688560	30297963
tr009009	GSE100602	Global Transcriptome and Gene Regulatory Network of MAPK Signaling Pathway in Trichoderma reesei During Sugarcane Bagasse Degradation	tmk2  Glycerol  	GSM2688561,GSM2688562,GSM2688563	30297963
tr010001	GSE104606	ARA1 regulates not only L-arabinose but also D-galactose catabolism in Trichoderma reesei	QM9414  L-arabinose  	GSM2804019	29215697
tr010002	GSE104606	ARA1 regulates not only L-arabinose but also D-galactose catabolism in Trichoderma reesei	QM9414 Δxyr1Δara1  L-arabinose  	GSM2804024,GSM2804033	29215697
tr011001	GSE119126	YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	QM6a Constant light   	GSM3358789,GSM3358790	30866811
tr011002	GSE119126	YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	ypr2 Constant light   	GSM3358791,GSM3358792	30866811
tr011003	GSE119126	YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	QM6a Constant darkness   	GSM3358793,GSM3358794	30866811
tr011004	GSE119126	YPR2 is a light dependent regulator of carbon and secondary metabolism in Trichoderma reesei	ypr2 Constant darkness   	GSM3358795,GSM3358796	30866811
tr012001	GSE82287	Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	RUT-C30  Glucose 24h 	GSM2188043,GSM2188044,GSM2188045,GSM2188046,GSM2188047,GSM2188048	33302864
tr012002	GSE82287	Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	RUT-C30  Glucose 48h 	GSM2188049,GSM2188050,GSM2188051,GSM2188052,GSM2188053,GSM2188054	33302864
tr012003	GSE82287	Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	RUT-C30  Lactose 24h 	GSM2188055,GSM2188056,GSM2188057,GSM2188058,GSM2188059,GSM2188060	33302864
tr012004	GSE82287	Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	RUT-C30  Lactose 48h 	GSM2188061,GSM2188062,GSM2188063,GSM2188064,GSM2188065,GSM2188066	33302864
tr012005	GSE82287	Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	RUT-C30  Glucose 90%-lactose 10% 24h 	GSM2188067,GSM2188068,GSM2188069,GSM2188070,GSM2188071,GSM2188072	33302864
tr012006	GSE82287	Growing Trichoderma reseei on a mix of carbon sources reveals links between development and cellulase production	RUT-C30  Glucose 90%-lactose 10% 48h 	GSM2188073,GSM2188074,GSM2188075,GSM2188076,GSM2188077,GSM2188078	33302864
tr013001	GSE147192	The effects of gul1 deletion on the transcriptome of Trichoderma reesei	QPP  1% (w/v) cellulose  	GSM4420167,GSM4420168,GSM4420169	33693788
tr013002	GSE147192	The effects of gul1 deletion on the transcriptome of Trichoderma reesei	dgul1  1% (w/v) cellulose  	GSM4420170,GSM4420171,GSM4420172	33693788
tr014001	GSE216955	RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	QM6a Cellulose in darkness   	GSM6701328,GSM6701329,GSM6701330	37400774
tr014002	GSE216955	RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	rgs4 Cellulose in darkness   	GSM6701331,GSM6701332,GSM6701333	37400774
tr014003	GSE216955	RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	QM6a Cellulose in light   	GSM6701334,GSM6701335,GSM6701336	37400774
tr014004	GSE216955	RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei	rgs4 Cellulose in light   	GSM6701337,GSM6701338,GSM6701339	37400774
