Sample ID	Strain	Strategy	Carbon Sources	Temperature	Time	Study Title	Series Accession	Related Sample
mt007004	WTdeltagalK		Galatose	45°	4h	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	GSE165516	GSM5035234,GSM5035235
mt007005	OEgal2		Galatose	45°	4h	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	GSE165516	GSM5035236,GSM5035237
mt007006	OEgal2deltagalK		Galatose	45°	4h	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	GSE165516	GSM5035238,GSM5035239
mt008001	MJK20.3	exponential_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556624,GSM5556625
mt008002	MJK20.3	steady_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556626,GSM5556627
mt008003	MJK20.3		Cellulose	45°	0.5h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556628,GSM5556629
mt008004	MJK20.3		Cellulose	45°	1h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556630,GSM5556631
mt008005	MJK20.3		Cellulose	45°	2h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556632,GSM5556633
mt008006	MJK20.3		Cellulose	45°	4h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556634,GSM5556635
mt008007	BS6.4	exponential_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556636,GSM5556637
mt008008	BS6.4	steady_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556638,GSM5556639
mt008009	BS6.4		Cellulose	45°	0.5h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556640,GSM5556641
mt008010	BS6.4		Cellulose	45°	1h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556642,GSM5556643
mt008011	BS6.4		Cellulose	45°	2h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556644,GSM5556645
mt008012	BS6.4		Cellulose	45°	4h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556646,GSM5556647
mt008013	BS7.8	exponential_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556648,GSM5556649
mt008014	BS7.8	steady_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556650,GSM5556651
mt008015	BS7.8		Cellulose	45°	0.5h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556652,GSM5556653
mt008016	BS7.8		Cellulose	45°	1h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556654,GSM5556655
mt008017	BS7.8		Cellulose	45°	2h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556656,GSM5556657
mt008018	BS7.8		Cellulose	45°	4h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556658,GSM5556659
mt008019	JK2.8	exponential_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556660,GSM5556661
mt008020	JK2.8	steady_state	Glucose	45°		Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556662,GSM5556663
mt008021	JK2.8		Cellulose	45°	0.5h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556664,GSM5556665
mt008022	JK2.8		Cellulose	45°	1h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556666,GSM5556667
mt008023	JK2.8		Cellulose	45°	2h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556668,GSM5556669
mt008024	JK2.8		Cellulose	45°	4h	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	GSE183387	GSM5556670,GSM5556671,GSM5556672
mt009001	WT		Glucose	45°	2d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600079,GSM6600080
mt009002	WT		Glucose	45°	4d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600081,GSM6600082
mt009003	Δpfk2-a		Glucose	45°	2d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600083,GSM6600084
mt009004	Δpfk2-a		Glucose	45°	4d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600085,GSM6600086
mt009005	Δpfk2-b		Glucose	45°	2d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600087,GSM6600088
mt009006	Δpfk2-c		Glucose	45°	2d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600089,GSM6600090
mt009007	Δpfk2-c		Glucose	45°	4d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600091,GSM6600092
mt009008	Δpfk2-abc		Glucose	45°	2d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600093,GSM6600094
mt009009	Δpfk2-abc		Glucose	45°	4d	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	GSE214142	GSM6600095,GSM6600096
mt010001	WT		Glucose	35°	66h	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	GSE184074	GSM5577201,GSM5577202,GSM5577203
mt010002	WT		Glucose	40°	40h	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	GSE184074	GSM5577204,GSM5577205,GSM5577206
mt010003	WT		Glucose	45°	40h	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	GSE184074	GSM5577207,GSM5577208,GSM5577209
mt010004	WT		Glucose	50°	40h	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	GSE184074	GSM5577210,GSM5577211,GSM5577212
mt011001	ΔMycth_90344		Avicel	45°	4h	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	GSE205182	GSM6206886,GSM6206887,GSM6206888
mt011002	ΔMycth_90344		Avicel	45°	6h	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	GSE205182	GSM6206889,GSM6206890,GSM6206891
mt011003	ΔMycth_90344		Starch	45°	4h	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	GSE205182	GSM6206892,GSM6206893,GSM6206894
mt011004	WT		Avicel	45°	4h	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	GSE205182	GSM6206895,GSM6206896,GSM6206897
mt011005	WT		Avicel	45°	6h	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	GSE205182	GSM6206898,GSM6206899,GSM6206900
mt011006	WT		Starch	45°	4h	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	GSE205182	GSM6206901,GSM6206902,GSM6206903
mt012001	WT		Glucose	45°	24h	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589268,GSM6589269
mt012002	ΔlaeA		Glucose	45°	24h	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589270,GSM6589271
mt012003	Δgrf-1		Glucose	45°	24h	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589272,GSM6589273
mt012004	Δgrf-2		Glucose	45°	24h	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589274,GSM6589275
mt012005	Δgrf-3		Glucose	45°	24h	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589276,GSM6589277
mt012006	Δcre-1		Glucose	45°	24h	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589278,GSM6589279
mt012007	WT		Avicel	45°	2d	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589280,GSM6589281
mt012008	ΔlaeA		Avicel	45°	2d	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589282,GSM6589283
mt012009	WT		Avicel	45°	4d	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589284,GSM6589285
mt012010	ΔlaeA		Avicel	45°	4d	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589286,GSM6589287
mt012011	WT		Avicel	45°	6d	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589288,GSM6589289
mt012012	ΔlaeA		Avicel	45°	6d	LaeA regulates mycelium growth by mediating H3K9 methylation in Myceliophthora thermophila [RNA-seq]	GSE213570	GSM6589290,GSM6589291
mt013001	JG207		Xylose	45°	4h	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	GSE214002	GSM6597671,GSM6597672
mt013002	DF1102		Xylose	45°	4h	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	GSE214002	GSM6597673,GSM6597674
mt013003	DF1406		Xylose	45°	4h	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	GSE214002	GSM6597675,GSM6597676
mt013004	DF1501		Xylose	45°	4h	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	GSE214002	GSM6597677,GSM6597678
mt014001	WT		Nocarbon	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873676,GSM6873677
mt014002	WT		Glucose	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873678,GSM6873679
mt014003	WT		Xylose	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873680,GSM6873681
mt014004	WT		Aarabinose	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873682,GSM6873683
mt014005	WT		Arabinan	45°	2d	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873684,GSM6873685
mt014006	WT		Arabinan	45°	4d	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873686,GSM6873687
mt014007	MtLat-1		Arabinan	45°	2d	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873688,GSM6873689
mt014008	MtLat-1		Arabinan	45°	4d	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873690,GSM6873691
mt014009	MtAra-1		Aarabinose	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873692,GSM6873693
mt014010	MtAra-1		Xylose	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873694,GSM6873695
mt014011	MtAra-1		Arabinan	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873696,GSM6873697
mt014012	WT		Arabinan	45°	4h	The arabinose transporter MtLat-1 is involved in hemicellulase induction in Myceliophthora	GSE221464	GSM6873698,GSM6873699
mt015001	MtGM12		Starch	45°	1d	Development of a glucoamylase hyper-production platform in thermophilic fungus Myceliophthora thermophila via the rational redesigning and engineering manipulation	GSE227646	GSM7104559,GSM7104560,GSM7104561
mt015002	MtGM12		Starch	45°	2d	Development of a glucoamylase hyper-production platform in thermophilic fungus Myceliophthora thermophila via the rational redesigning and engineering manipulation	GSE227646	GSM7104562,GSM7104563,GSM7104564
mt015003	WT		Starch	45°	1d	Development of a glucoamylase hyper-production platform in thermophilic fungus Myceliophthora thermophila via the rational redesigning and engineering manipulation	GSE227646	GSM7104565,GSM7104566,GSM7104567
mt015004	WT		Starch	45°	2d	Development of a glucoamylase hyper-production platform in thermophilic fungus Myceliophthora thermophila via the rational redesigning and engineering manipulation	GSE227646	GSM7104568,GSM7104569,GSM7104570
mt016001	WT		Xylan		4h	Orthogonal metabolism of cellodextrin and xylodextrin is the keystone of synchronous utilization of cellulose and hemicellulose in Myceliophthora thermophila	GSE222371	GSM6921732,GSM6921733
mt016002	WT		Xylan + avicel		4h	Orthogonal metabolism of cellodextrin and xylodextrin is the keystone of synchronous utilization of cellulose and hemicellulose in Myceliophthora thermophila	GSE222371	GSM6921734,GSM6921735
mt016003	WT		Nocarbon		4h	Orthogonal metabolism of cellodextrin and xylodextrin is the keystone of synchronous utilization of cellulose and hemicellulose in Myceliophthora thermophila	GSE222371	GSM6921736,GSM6921737
mt016004	WT		Cellobiose		4h	Orthogonal metabolism of cellodextrin and xylodextrin is the keystone of synchronous utilization of cellulose and hemicellulose in Myceliophthora thermophila	GSE222371	GSM6921738,GSM6921739
mt016005	WT		Xylobiose		4h	Orthogonal metabolism of cellodextrin and xylodextrin is the keystone of synchronous utilization of cellulose and hemicellulose in Myceliophthora thermophila	GSE222371	GSM6921740,GSM6921741
mt016006	WT	0.02	Cellobiose + xylobiose		4h	Orthogonal metabolism of cellodextrin and xylodextrin is the keystone of synchronous utilization of cellulose and hemicellulose in Myceliophthora thermophila	GSE222371	GSM6921742,GSM6921743
mt016007	WT	0.01	Cellobiose + xylobiose		4h	Orthogonal metabolism of cellodextrin and xylodextrin is the keystone of synchronous utilization of cellulose and hemicellulose in Myceliophthora thermophila	GSE222371	GSM6921744,GSM6921745
