Sample ID	Series Accession	Study Title	Condition	Related Sample	PMID
nc001014	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  No carbon  4h	GSM864233,GSM864234,GSM864235	22532664
nc001015	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  Sucrose  1h	GSM864236,GSM864237,GSM864238	22532664
nc001016	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  Sucrose  4h	GSM864239,GSM864240,GSM864241	22532664
nc002001	GSE36719	Induction of lignocellulose-degrading enzymes in Neurospora crassa by cellodextrins	OR74A  Cellobiose  4h	GSM899603	22474347
nc002002	GSE36719	Induction of lignocellulose-degrading enzymes in Neurospora crassa by cellodextrins	TBGK  Avicel  4h	GSM899604	22474347
nc002003	GSE36719	Induction of lignocellulose-degrading enzymes in Neurospora crassa by cellodextrins	TBGK  Cellobiose  4h	GSM899605	22474347
nc002004	GSE36719	Induction of lignocellulose-degrading enzymes in Neurospora crassa by cellodextrins	TBGK  Sucrose  4h	GSM899606	22474347
nc002005	GSE36719	Induction of lignocellulose-degrading enzymes in Neurospora crassa by cellodextrins	OR74A  Avicel  4h	GSM899607,GSM899608,GSM899609	22474347
nc002006	GSE36719	Induction of lignocellulose-degrading enzymes in Neurospora crassa by cellodextrins	OR74A  No carbon  4h	GSM899610,GSM899611,GSM899612	22474347
nc002007	GSE36719	Induction of lignocellulose-degrading enzymes in Neurospora crassa by cellodextrins	OR74A  Sucrose  4h	GSM899613,GSM899614,GSM899615	22474347
nc003001	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A Mtp   0h	GSM1018089	22626843
nc003002	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A Mtp   2h	GSM1018090	22626843
nc003003	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A Mtp   24h	GSM1018091	22626843
nc003004	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A Mtp   48h	GSM1018092	22626843
nc003005	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A Mtp   72h	GSM1018093	22626843
nc003006	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A Mtp   96h	GSM1018094	22626843
nc003007	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A Mtp   120h	GSM1018095	22626843
nc003008	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   144h	GSM1018096	22626843
nc003009	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   0h	GSM1018097	22626843
nc003010	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   2h	GSM1018098	22626843
nc003011	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   24h	GSM1018099	22626843
nc003012	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   48h	GSM1018100	22626843
nc003013	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   72h	GSM1018101	22626843
nc003014	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   96h	GSM1018102	22626843
nc003015	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   120h	GSM1018103	22626843
nc003016	GSE41484	Multidimensional regulation in transcriptome during sexual development in Neurospora crassa revealed with RNA sequencing	OR74A N6   144h	GSM1018104	22626843
nc004001	GSE50446	Transcriptional profiling of Neurospora crassa conidia undergoing germling fusion: Delta pp-1 vs WT	OR74A    5h	GSM1219411	24037267
nc004002	GSE50446	Transcriptional profiling of Neurospora crassa conidia undergoing germling fusion: Delta pp-1 vs WT	Delta pp    5h	GSM1219412	24037267
nc005001	GSE44100	Inducer Free Cellulase Secretion in Neurospora Crassa and comparitive analysis of cellulase induction in Aspergillus nidulans	OR74A  Avicel  	GSM1078920,GSM1078921,GSM1078922	23766336
nc005002	GSE44100	Inducer Free Cellulase Secretion in Neurospora Crassa and comparitive analysis of cellulase induction in Aspergillus nidulans	OR74A  No carbon  	GSM1078923,GSM1078924,GSM1078925	23766336
nc005005	GSE44100	Inducer Free Cellulase Secretion in Neurospora Crassa and comparitive analysis of cellulase induction in Aspergillus nidulans	Delta clr-2  Avicel  	GSM1078932,GSM1078933,GSM1078934	23766336
nc005007	GSE44100	Inducer Free Cellulase Secretion in Neurospora Crassa and comparitive analysis of cellulase induction in Aspergillus nidulans	Pc2  No carbon  	GSM1078938,GSM1078939,GSM1078940	23766336
nc005008	GSE44100	Inducer Free Cellulase Secretion in Neurospora Crassa and comparitive analysis of cellulase induction in Aspergillus nidulans	Pc2  Sucrose  	GSM1078941	23766336
nc006001	GSE52153	Transcriptional profiling of staurosporine-induced cell death in wild type versus Delta czt-1 in Neurospora crassa	OR74A 1h dmso   6h	GSM1260334	24717808
nc006002	GSE52153	Transcriptional profiling of staurosporine-induced cell death in wild type versus Delta czt-1 in Neurospora crassa	OR74A 20 μm sts   6h	GSM1260335	24717808
nc006003	GSE52153	Transcriptional profiling of staurosporine-induced cell death in wild type versus Delta czt-1 in Neurospora crassa	Delta czt-1 1h dmso   6h	GSM1260336	24717808
nc006004	GSE52153	Transcriptional profiling of staurosporine-induced cell death in wild type versus Delta czt-1 in Neurospora crassa	Delta czt-1 20 μm sts   6h	GSM1260337	24717808
nc007001	GSE42692	A comparative systems analysis of polysaccharide-elicited responses in Neurospora crassa reveals carbon source-specific cellular adaptations	OR74A  Pectin  4h	GSM1048021,GSM1048022,GSM1048023	24224966
nc007002	GSE42692	A comparative systems analysis of polysaccharide-elicited responses in Neurospora crassa reveals carbon source-specific cellular adaptations	OR74A  Orange peel powder  4h	GSM1048024,GSM1048025	24224966
nc007003	GSE42692	A comparative systems analysis of polysaccharide-elicited responses in Neurospora crassa reveals carbon source-specific cellular adaptations	OR74A  Xylan  4h	GSM1048026	24224966
nc007004	GSE42692	A comparative systems analysis of polysaccharide-elicited responses in Neurospora crassa reveals carbon source-specific cellular adaptations	OR74A  Avicel  4h	GSM1048027,GSM1048028,GSM1048029	24224966
nc007005	GSE42692	A comparative systems analysis of polysaccharide-elicited responses in Neurospora crassa reveals carbon source-specific cellular adaptations	OR74A  No carbon  4h	GSM1048030,GSM1048031,GSM1048032	24224966
nc007006	GSE42692	A comparative systems analysis of polysaccharide-elicited responses in Neurospora crassa reveals carbon source-specific cellular adaptations	OR74A  Sucrose  4h	GSM1048033,GSM1048034,GSM1048035	24224966
nc008001	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    0h	GSM1468761	25329823
nc008002	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    2h	GSM1468762	25329823
nc008003	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    24h	GSM1468763	25329823
nc008004	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    48h	GSM1468764	25329823
nc008005	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    72h	GSM1468765	25329823
nc008006	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    96h	GSM1468766	25329823
nc008007	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    120h	GSM1468767	25329823
nc008008	GSE60255	Gene expression levels in three Neurospora species reveal genes crucial for sexual reproduction in Neurospora crassa	FGSC8579    144h	GSM1468768	25329823
nc009001	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    0 min	GSM1295595	25053707
nc009002	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    15 min	GSM1295596	25053707
nc009003	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    60 min	GSM1295597	25053707
nc009004	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    120 min	GSM1295598	25053707
nc009005	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    240 min	GSM1295599	25053707
nc009006	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    0 min	GSM1295600	25053707
nc009007	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    15 min	GSM1295601	25053707
nc009008	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    60 min	GSM1295602	25053707
nc009009	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    120 min	GSM1295603	25053707
nc009010	GSE53534	Genome-wide characterization of light-regulated genes in Neurospora crassa	OR74A Dark    240 min	GSM1295604	25053707
nc010001	GSE52316	VIB1, a link between glucose signaling and carbon catabolite repression, is essential for plant cell wall degradation by Neurospora crassa	FGSC 11308: Delta vib-1 a  No carbon  	GSM1262788,GSM1262789,GSM1262790	25144221
nc010002	GSE52316	VIB1, a link between glucose signaling and carbon catabolite repression, is essential for plant cell wall degradation by Neurospora crassa	FGSC 11308 Delta vib-1 a  Avicel  	GSM1262791,GSM1262792,GSM1262793	25144221
nc010003	GSE52316	VIB1, a link between glucose signaling and carbon catabolite repression, is essential for plant cell wall degradation by Neurospora crassa	YX025: Pc clr-2 Delta vib-1 a  No carbon  	GSM1262794,GSM1262795,GSM1262796	25144221
nc011001	GSE51091	Transcriptional comparison of the filamentous fungus Neurospora crassa growing on three major monosaccharides D-glucose, D-xylose and L-arabinose	OR74A  Aarabinose  	GSM1238597,GSM1238602	24581151
nc011002	GSE51091	Transcriptional comparison of the filamentous fungus Neurospora crassa growing on three major monosaccharides D-glucose, D-xylose and L-arabinose	OR74A  Glucose  	GSM1238604,GSM1238606	24581151
nc011003	GSE51091	Transcriptional comparison of the filamentous fungus Neurospora crassa growing on three major monosaccharides D-glucose, D-xylose and L-arabinose	OR74A  Xylose  	GSM1238609	24581151
nc013002	GSE53013	Transcriptional profiling of staurosporine-induced cell death in Vogel's minimal medium with different concentrations of calcium	OR74A Dmso   	GSM1280356	25595444
nc013003	GSE53013	Transcriptional profiling of staurosporine-induced cell death in Vogel's minimal medium with different concentrations of calcium	OR74A Staurosporine   	GSM1280357	25595444
nc013004	GSE53013	Transcriptional profiling of staurosporine-induced cell death in Vogel's minimal medium with different concentrations of calcium	OR74A Ca2+ dmso   	GSM1280358	25595444
nc013005	GSE53013	Transcriptional profiling of staurosporine-induced cell death in Vogel's minimal medium with different concentrations of calcium	OR74A Ca2+ staurosporine   	GSM1280359	25595444
nc013006	GSE53013	Transcriptional profiling of staurosporine-induced cell death in Vogel's minimal medium with different concentrations of calcium	OR74A Cacl2 dmso   	GSM1280360	25595444
nc013007	GSE53013	Transcriptional profiling of staurosporine-induced cell death in Vogel's minimal medium with different concentrations of calcium	OR74A Cacl2 staurosporine   	GSM1280361	25595444
nc014001	GSE60986	A transcriptomic analysis of Neurospora crassa using five major crop residues and the novel role of the sporulation regulator rca-1 in lignocellulase production	OR74A  Barleystraw  30h	GSM1495254	25691917
nc014002	GSE60986	A transcriptomic analysis of Neurospora crassa using five major crop residues and the novel role of the sporulation regulator rca-1 in lignocellulase production	OR74A  Cornstraw  30h	GSM1495255	25691917
nc014003	GSE60986	A transcriptomic analysis of Neurospora crassa using five major crop residues and the novel role of the sporulation regulator rca-1 in lignocellulase production	OR74A  Ricestraw  30h	GSM1495256	25691917
nc014004	GSE60986	A transcriptomic analysis of Neurospora crassa using five major crop residues and the novel role of the sporulation regulator rca-1 in lignocellulase production	OR74A  Soybeanstraw  30h	GSM1495257	25691917
nc014005	GSE60986	A transcriptomic analysis of Neurospora crassa using five major crop residues and the novel role of the sporulation regulator rca-1 in lignocellulase production	OR74A  Wheatstraw  30h	GSM1495258	25691917
nc014006	GSE60986	A transcriptomic analysis of Neurospora crassa using five major crop residues and the novel role of the sporulation regulator rca-1 in lignocellulase production	OR74A  Sucrose  16h	GSM1495259	25691917
nc015001	GSE68514	Identification of direct target genes of the Neurospora crassa essential plant biomass deconstruction transcription factors CLR-1, CLR-2 and XLR-1 (RNA-Seq)	OR74A  Xylan or sucrose  16h	GSM1674169,GSM1674170,GSM1674171	26463163
nc015002	GSE68514	Identification of direct target genes of the Neurospora crassa essential plant biomass deconstruction transcription factors CLR-1, CLR-2 and XLR-1 (RNA-Seq)	OR74A: his-3::p_ccg1::xlr-1-A828V  Xylan or sucrose  16h	GSM1674172,GSM1674173,GSM1674174	26463163
nc015003	GSE68514	Identification of direct target genes of the Neurospora crassa essential plant biomass deconstruction transcription factors CLR-1, CLR-2 and XLR-1 (RNA-Seq)	OR74A: his-3::p_ccg1::xlr-1-A828V  Xylan or sucrose  16h	GSM1674175	26463163
nc015004	GSE68514	Identification of direct target genes of the Neurospora crassa essential plant biomass deconstruction transcription factors CLR-1, CLR-2 and XLR-1 (RNA-Seq)	OR74A: deltaxlr-1::HygR  Xylan or sucrose  16h	GSM1674176,GSM1674177,GSM1674178,GSM1674179	26463163
nc016001	GSE60004	The putative cellodextrin transporter-like protein CLP1 is involved in cellulase induction in Neurospora crassa	OR74A: Delta 3βG  Cellobiose  4h	GSM1463422	25398875
nc016002	GSE60004	The putative cellodextrin transporter-like protein CLP1 is involved in cellulase induction in Neurospora crassa	OR74A: Delta 3βGDelta ncu05853  Cellobiose  4h	GSM1463423	25398875
nc016003	GSE60004	The putative cellodextrin transporter-like protein CLP1 is involved in cellulase induction in Neurospora crassa	OR74A: Delta 3βGDelta cdt2Delta ncu05853  Cellobiose  4h	GSM1463424	25398875
nc017001	GSE53040	Transcriptional profiling of wild type Neurospora crassa cells treated with novel antifungal agents	OR74A Dmso   	GSM1280889	26484172
nc017002	GSE53040	Transcriptional profiling of wild type Neurospora crassa cells treated with novel antifungal agents	OR74A D1   	GSM1280890	26484172
nc017003	GSE53040	Transcriptional profiling of wild type Neurospora crassa cells treated with novel antifungal agents	OR74A Tx34   	GSM1280891	26484172
nc017004	GSE53040	Transcriptional profiling of wild type Neurospora crassa cells treated with novel antifungal agents	OR74A Tx87   	GSM1280892	26484172
nc017005	GSE53040	Transcriptional profiling of wild type Neurospora crassa cells treated with novel antifungal agents	OR74A Tx129   	GSM1280893	26484172
nc017006	GSE53040	Transcriptional profiling of wild type Neurospora crassa cells treated with novel antifungal agents	OR74A Xp13   	GSM1280894	26484172
nc018001	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: h2o   direct culture	GSM1517604	25883682
nc018002	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: dtt (0.1mm)   direct culture	GSM1517605	25883682
nc018003	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: dtt (5mm)   direct culture	GSM1517606	25883682
nc018004	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: tm (5ug/ml)   direct culture	GSM1517607	25883682
nc018005	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: tm (40ug/ml)   direct culture	GSM1517608	25883682
nc018006	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: h2o   transfer culture	GSM1517609	25883682
nc018007	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: dtt (5mm)   transfer culture	GSM1517610	25883682
nc018008	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU02202 (Delta ire-1) Er stress agent: h2o   transfer culture	GSM1517611	25883682
nc018009	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU02202 (Delta ire-1) Er stress agent: dtt (5mm)   transfer culture	GSM1517612	25883682
nc018010	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	FGSC#9720 Er stress agent: h2o   transfer culture	GSM1517613	25883682
nc018011	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	FGSC#9720 Er stress agent: dtt (5mm)   transfer culture	GSM1517614	25883682
nc018012	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU01856 (Delta hac-1) Er stress agent: h2o   transfer culture	GSM1517615	25883682
nc018013	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU01856 (Delta hac-1) Er stress agent: dtt (5mm)   transfer culture	GSM1517616	25883682
nc018014	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: h2o   direct culture	GSM1517617	25883682
nc018015	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	OR74A Er stress agent: dtt (5mm)   direct culture	GSM1517618	25883682
nc018016	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU02724 (Delta rec-2) Er stress agent: h2o   direct culture	GSM1517619	25883682
nc018017	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU02724 (Delta rec-2) Er stress agent: dtt (5mm)   direct culture	GSM1517620	25883682
nc018018	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU02413 (Delta rrg-2) Er stress agent: h2o   direct culture	GSM1517621	25883682
nc018019	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU02413 (Delta rrg-2) Er stress agent: dtt (5mm)   direct culture	GSM1517622	25883682
nc018020	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU03699 (Delta rec-1) Er stress agent: h2o   direct culture	GSM1517623	25883682
nc018021	GSE61949	Genome-wide analysis of the endoplasmic reticulum stress response during lignocellulase synthesis in Neurospora crassa	Delta NCU03699 (Delta rec-1) Er stress agent: dtt (5mm)   direct culture	GSM1517624	25883682
nc019001	GSE78157	Genomic analysis of N. crassa histone H1	OR74A Vogel's    5h	GSM2068339,GSM2068340,GSM2068341	27172195
nc019002	GSE78157	Genomic analysis of N. crassa histone H1	OR74A: hH1 Vogel's    5h	GSM2068342,GSM2068343,GSM2068344	27172195
nc020003	GSE75293	Neurospora crassa transcriptomics reveals oxidative stress and plasma membrane homeostasis biology genes as key targets in response to chitosan	strain info: FGSC2489 Vogel's    8h	GSM1948939	26694141
nc020004	GSE75293	Neurospora crassa transcriptomics reveals oxidative stress and plasma membrane homeostasis biology genes as key targets in response to chitosan	strain info: FGSC2489 Vogel's    16h	GSM1948940	26694141
nc020005	GSE75293	Neurospora crassa transcriptomics reveals oxidative stress and plasma membrane homeostasis biology genes as key targets in response to chitosan	strain info: FGSC2489 Vogel's    4h	GSM1948941	26694141
nc020006	GSE75293	Neurospora crassa transcriptomics reveals oxidative stress and plasma membrane homeostasis biology genes as key targets in response to chitosan	strain info: FGSC2489 Vogels+chitosan   4h	GSM1948942	26694141
nc020007	GSE75293	Neurospora crassa transcriptomics reveals oxidative stress and plasma membrane homeostasis biology genes as key targets in response to chitosan	strain info: FGSC2489 Vogels+chitosan   8h	GSM1948943	26694141
nc020008	GSE75293	Neurospora crassa transcriptomics reveals oxidative stress and plasma membrane homeostasis biology genes as key targets in response to chitosan	strain info: FGSC2489 Vogels+chitosan   16h	GSM1948944	26694141
nc021001	GSE82222	Neurospora crassa genome organization requires subtelomeric facultative heterochromatin	OR74A  Sucrose  	GSM2186738,GSM2186742	27856763
nc021002	GSE82222	Neurospora crassa genome organization requires subtelomeric facultative heterochromatin	delta set-7  Sucrose  	GSM2186739,GSM2186743	27856763
nc021003	GSE82222	Neurospora crassa genome organization requires subtelomeric facultative heterochromatin	delta npf  Sucrose  	GSM2186740,GSM2186744	27856763
nc021004	GSE82222	Neurospora crassa genome organization requires subtelomeric facultative heterochromatin	delta set-7;delta dim-5  Sucrose  	GSM2186741,GSM2186745	27856763
nc021005	GSE82222	Neurospora crassa genome organization requires subtelomeric facultative heterochromatin	delta dim-5  Sucrose  	GSM2306486	27856763
nc022001	GSE89602	Effects of combined heat shock and glucose-deprivation on wild type and os2 mutant cells of Neurospora crassa.	OR74A Contrtol  30℃ 1h	GSM2385263	27870869
nc022002	GSE89602	Effects of combined heat shock and glucose-deprivation on wild type and os2 mutant cells of Neurospora crassa.	OR74A Plus 2-dg (ds)  45℃ 2h	GSM2385264	27870869
nc022003	GSE89602	Effects of combined heat shock and glucose-deprivation on wild type and os2 mutant cells of Neurospora crassa.	OR74A Hs  45℃ 2h	GSM2385265	27870869
nc022004	GSE89602	Effects of combined heat shock and glucose-deprivation on wild type and os2 mutant cells of Neurospora crassa.	UCLA 80A Contrtol  30℃ 1h	GSM2385266	27870869
nc022005	GSE89602	Effects of combined heat shock and glucose-deprivation on wild type and os2 mutant cells of Neurospora crassa.	UCLA 80A Plus 2-dg (ds)  45℃ 2h	GSM2385267	27870869
nc022006	GSE89602	Effects of combined heat shock and glucose-deprivation on wild type and os2 mutant cells of Neurospora crassa.	UCLA 80A Hs  45℃ 2h	GSM2385268	27870869
nc023001	GSE88985	The transcription factor PDR-1 is a multi-functional regulator and key component of pectin deconstruction and catabolism in Neurospora crassa	OR74A  Sucrose  4h	GSM2356758,GSM2356759,GSM2356760	28616073
nc023002	GSE88985	The transcription factor PDR-1 is a multi-functional regulator and key component of pectin deconstruction and catabolism in Neurospora crassa	OR74A  Pectin  4h	GSM2356761,GSM2356762	28616073
nc023003	GSE88985	The transcription factor PDR-1 is a multi-functional regulator and key component of pectin deconstruction and catabolism in Neurospora crassa	OR74A  Rhamnose  4h	GSM2356763,GSM2356764,GSM2356765	28616073
nc023004	GSE88985	The transcription factor PDR-1 is a multi-functional regulator and key component of pectin deconstruction and catabolism in Neurospora crassa	OR74A  No carbon  4h	GSM2356766,GSM2356767,GSM2356768	28616073
nc023005	GSE88985	The transcription factor PDR-1 is a multi-functional regulator and key component of pectin deconstruction and catabolism in Neurospora crassa	dpdr-1  Pectin  4h	GSM2356769,GSM2356770,GSM2356771	28616073
nc023006	GSE88985	The transcription factor PDR-1 is a multi-functional regulator and key component of pectin deconstruction and catabolism in Neurospora crassa	dpdr-1  Rhamnose  4h	GSM2356772,GSM2356773,GSM2356774	28616073
nc023007	GSE88985	The transcription factor PDR-1 is a multi-functional regulator and key component of pectin deconstruction and catabolism in Neurospora crassa	dpdr-1  No carbon  4h	GSM2356775,GSM2356776,GSM2356777	28616073
nc024003	GSE92848	A Fungal Transcription Factor Essential for Starch Degradation Regulates Primary Carbon and Nitrogen Metabolism and Amino Acid Biosynthesis	OR74A  Maltose  	GSM2438499,GSM2438500,GSM2438501	28467421
nc024004	GSE92848	A Fungal Transcription Factor Essential for Starch Degradation Regulates Primary Carbon and Nitrogen Metabolism and Amino Acid Biosynthesis	OR74A  Amylose  	GSM2438502,GSM2438503,GSM2438504	28467421
nc024005	GSE92848	A Fungal Transcription Factor Essential for Starch Degradation Regulates Primary Carbon and Nitrogen Metabolism and Amino Acid Biosynthesis	OR74A  Amylopectin  	GSM2438505,GSM2438506,GSM2438507	28467421
nc024006	GSE92848	A Fungal Transcription Factor Essential for Starch Degradation Regulates Primary Carbon and Nitrogen Metabolism and Amino Acid Biosynthesis	col-26  Maltose  	GSM2438508,GSM2438509,GSM2438510	28467421
nc024007	GSE92848	A Fungal Transcription Factor Essential for Starch Degradation Regulates Primary Carbon and Nitrogen Metabolism and Amino Acid Biosynthesis	col-26  Amylose  	GSM2438511,GSM2438512,GSM2438513	28467421
nc025001	GSE78952	Identification and Characterization of the Glucose Dual-transporter System: Pleiotropic Roles in Nutrient Transport, Signaling, and Carbon Catabolite Repression in Neurospora crassa	OR74A  No carbon  1h	GSM2081617,GSM2081618	28115989
nc025002	GSE78952	Identification and Characterization of the Glucose Dual-transporter System: Pleiotropic Roles in Nutrient Transport, Signaling, and Carbon Catabolite Repression in Neurospora crassa	OR74A  Glucose0.05%  1h	GSM2081619,GSM2081620,GSM2081621	28115989
nc025003	GSE78952	Identification and Characterization of the Glucose Dual-transporter System: Pleiotropic Roles in Nutrient Transport, Signaling, and Carbon Catabolite Repression in Neurospora crassa	OR74A  Glucose0.05%  2h	GSM2081622	28115989
nc025004	GSE78952	Identification and Characterization of the Glucose Dual-transporter System: Pleiotropic Roles in Nutrient Transport, Signaling, and Carbon Catabolite Repression in Neurospora crassa	OR74A  Glucose0.5%  1h	GSM2081623,GSM2081624	28115989
